scenario_group,experiment,method_label,record_count,avg_distance_to_closest_person
doors_hallway,doors_hallway,mcts,1,2.1624197439054624
doors_hallway,doors_hallway,nav2,1,2.37576458145294
intersection_hallway,intersection_hallway,mcts,1,4.367042547768654
intersection_hallway,intersection_hallway,nav2,1,5.808194503465544
narrow_hallway,1_ahead_robot,mcts,1,3.5093076030066324
narrow_hallway,1_ahead_robot,nav2,1,4.967246358387746
narrow_hallway,1_behind_robot,mcts,1,0.8455853572984869
narrow_hallway,1_behind_robot,nav2,1,2.15803524221801
narrow_hallway,2_towards_robot,mcts,1,4.961370322284406
narrow_hallway,2_towards_robot,nav2,1,4.846176366857304
narrower_hallway,narrower_hallway,mcts,1,4.78031220453942
narrower_hallway,narrower_hallway,nav2,1,4.429810180630911
t_shape_hallway,t_shape_hallway,mcts,1,2.389813146001376
t_shape_hallway,t_shape_hallway,nav2,1,3.5198191666768794
wide_hallway,wide_hallway,mcts,1,6.11211909918821
wide_hallway,wide_hallway,nav2,1,6.979178311951614
