time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,1.7996207592194655,0,0,1,0,0,0,0.03703084588050842,-0.00033135851845145226,0.0,0.0,0.06157848238945007,0.06022638455033302,0.0017806649,0.0017806649,0.0035613298,0.0,0.062078588
1,0.1,0.021909073868300766,1.803576778957805,0,0,1,0,0,0,0.04791879653930664,-0.533332109451294,0.10887950658798218,1.0887950658798218,0.5561062544584274,0.5451458692550659,0.0049624504,0.004962447,0.009924878,0.0,0.050113566
2,0.2,0.06957689672708511,1.8141169380675328,0,0,1,0,0,0,0.10837731510400772,-0.7099472880363464,0.6045851856470108,6.045851856470108,0.8816060423851013,0.8672188520431519,0.0042082304,0.0042082225,0.0084152855,0.0,0.036741827
3,0.3,0.06861279159784317,1.8297273882585063,0,0,1,0,0,0,0.08999469131231308,-0.5750132203102112,-0.1838262379169464,-1.8382623791694641,1.0941842198371887,1.0803003311157227,0.0011635335,0.0011635335,0.0023225807,0.0,0.027406719
4,0.4,0.07278598845005035,1.8558738725290693,0,0,1,0,0,0,0.11938446015119553,-0.47228139638900757,0.29389768838882446,2.9389768838882446,1.232495129108429,1.2208881378173828,0.0003086125,0.0003086125,0.0006088973,0.0,0.02411424
5,0.5,0.06079992651939392,1.8877212338185143,0,0,1,0,0,0,0.16747631132602692,-0.7500208616256714,0.4809185117483139,4.809185117483139,1.3224303424358368,1.3135349750518799,9.1340895e-05,9.1340895e-05,0.00017374719,0.0,0.018904397
6,0.6,0.08258447051048279,1.9299101280224606,0,0,1,0,0,0,0.11810696125030518,-1.0700478553771973,-0.4936935007572174,-4.936935007572174,1.3809184432029724,1.3744618892669678,4.0375995e-05,4.0375995e-05,7.308449e-05,0.0,0.021159828
7,0.7,0.09641218185424805,1.9856206633772997,0,0,1,0,0,0,0.05441697686910629,-1.03387451171875,-0.6368998438119888,-6.368998438119888,1.4189296960830688,1.4144092798233032,2.8687728e-05,2.8687684e-05,5.1430994e-05,0.0,0.024133733
8,0.8,0.09926623106002808,2.0532979895818197,0,0,1,0,0,0,0.03591927886009216,-1.0026074647903442,-0.1849769800901413,-1.849769800901413,1.4435592293739319,1.4404799938201904,2.5402502e-05,2.5402478e-05,4.653306e-05,0.0,0.022114065
9,0.9,0.09976708889007568,2.129438192907293,0,0,1,0,0,0,0.10628276318311691,-0.996824324131012,0.7036348432302475,7.036348432302475,1.45940700173378,1.457369089126587,3.0639025e-05,3.0639112e-05,5.6243516e-05,0.0,0.025285574
10,1.0,0.09966069459915161,2.2132840949208172,0,0,1,0,0,0,0.20524471998214722,-0.9971216320991516,0.989619567990303,9.89619567990303,1.4694681763648987,1.468178391456604,4.1727228e-05,4.1727228e-05,7.5795964e-05,0.0,0.02880544
11,1.1,0.09966027736663818,2.301276395562718,0,0,1,0,0,0,0.30626845359802246,-0.9973968863487244,1.0102373361587524,10.102373361587524,1.4757022857666016,1.4749562740325928,6.310825e-05,6.310825e-05,0.000112648064,0.0,0.032642543
12,1.2,0.09966105222702026,2.3900409227563593,0,0,1,0,0,0,0.40780109167099,-0.9977309107780457,1.0153263807296753,10.153263807296753,1.479399412870407,1.4790551662445068,0.00010297525,0.000102975195,0.00018153284,0.0,0.0367515
13,1.3,0.09965699911117554,2.4765282815259333,0,0,1,0,0,0,0.4537528455257416,-0.9961341023445129,0.45951753854751587,4.595175385475159,1.4814138412475586,1.4813677072525024,0.00014427066,0.00014427058,0.0002559805,0.0,0.041070383
14,1.4,0.09960782527923584,2.561229871848314,0,0,1,0,0,0,0.3521350622177124,-0.9952609539031982,-1.0161778330802917,-10.161778330802917,1.4823143482208252,1.4824833869934082,0.00011507406,0.00011507379,0.00020870267,0.0,0.04552109
15,1.5,0.09960818290710449,2.6466220015885304,0,0,1,0,0,0,0.3270949721336365,-0.9963436126708984,-0.2504009008407593,-2.5040090084075928,1.4824443757534027,1.4827920198440552,0.00011296339,0.00011296331,0.00020777009,0.0,0.05001293
16,1.6,0.09959220886230469,2.7313083508316383,0,0,1,0,0,0,0.3273111581802368,-0.9963007569313049,0.002161860466003418,0.02161860466003418,1.481742799282074,1.4825477600097656,0.00012025858,0.00012025886,0.00022303512,0.0,0.054447852
17,1.7,0.0995863676071167,2.8112324477397626,0,0,1,0,0,0,0.4274468421936035,-0.995843768119812,1.001356840133667,10.01356840133667,1.4808124005794525,1.4819228649139404,0.0002029331,0.0002029331,0.00037575007,0.0,0.05869877
18,1.8,0.099570631980896,2.882977435365073,0,0,1,0,0,0,0.5292345881462097,-0.9955552816390991,1.017877459526062,10.17877459526062,1.4797603487968445,1.4810386896133423,0.00031831375,0.00031831363,0.000599099,0.0,0.06253018
19,1.9,0.09898984432220459,2.9451301557926666,0,0,1,0,0,0,0.6265604496002197,-0.965984046459198,0.9732586145401001,9.732586145401001,1.4786367416381836,1.4799784421920776,0.00046188195,0.00046188195,0.0008856788,0.0,0.0658749
20,2.0,0.0932152271270752,2.998644974639349,0,0,1,0,0,0,0.6859098672866821,-0.9850443005561829,0.593494176864624,5.93494176864624,1.4774597883224487,1.4788018465042114,0.00056121184,0.0005612094,0.0010812036,0.0,0.06871769
21,2.1,0.09455323219299316,3.044129478535631,0,0,1,0,0,0,0.7464067935943604,-0.8981855511665344,0.6049692630767822,6.049692630767822,1.4762268960475922,1.4775538444519043,0.00065189914,0.0006518971,0.0012530051,0.0,0.07107519
22,2.2,0.0910409688949585,3.088931887010429,0,0,1,0,0,0,0.7250545024871826,-0.7563331723213196,-0.21352291107177734,-2.1352291107177734,1.4749131500720978,1.4762638807296753,0.00055037753,0.00055037753,0.0010457367,0.0,0.07299315
23,2.3,0.06856215000152588,3.128942875766077,0,0,1,0,0,0,0.7953272461891174,-0.6143467426300049,0.7027274370193481,7.0272743701934814,1.4734651744365692,1.4749510288238525,0.0006111048,0.0006111048,0.0011599257,0.0,0.07454519
24,2.4,0.056009531021118164,3.1664549941770495,0,0,1,0,0,0,0.8011907935142517,-0.574755072593689,0.05863547325134277,0.5863547325134277,1.4717797338962555,1.4736151695251465,0.000538642,0.000538642,0.0010183738,0.0,0.07583226
25,2.5,0.05449676513671875,3.2036504671496795,0,0,1,0,0,0,0.8047937750816345,-0.7418332099914551,0.036029815673828125,0.36029815673828125,1.4696615636348724,1.472232460975647,0.00046019128,0.00046019128,0.0008671745,0.0,0.07700974
26,2.6,0.04045271873474121,3.242304522044913,0,0,1,0,0,0,0.7768268585205078,-0.23626069724559784,-0.2796691656112671,-2.796691656112671,1.466739445924759,1.4707441329956055,0.00035286637,0.00035286637,0.0006619186,0.0,0.07852052
27,2.7,0.0165252685546875,3.2845399936913555,0,0,1,0,0,0,0.7990647554397583,-0.16560667753219604,0.22237896919250488,2.223789691925049,1.4623077511787415,1.4690405130386353,0.0003271428,0.00032714248,0.00061305024,0.0,0.08067636
28,2.8,0.011518716812133789,3.3271201561482284,0,0,1,0,0,0,0.7519816756248474,-0.07286205142736435,-0.4708307981491089,-4.708307981491089,1.455043375492096,1.4669526815414429,0.00025021192,0.00025021192,0.0004671513,0.0,0.08507635
29,2.9,0.003125429153442383,3.3725319662842397,0,0,1,0,0,0,0.7956044673919678,0.2583073377609253,0.4362279176712036,4.362279176712036,1.4425269663333893,1.4642313718795776,0.00025654177,0.0002565415,0.00047934163,0.0,0.09601861
30,3.0,0.02349066734313965,3.4173170654062517,0,0,1,0,0,0,0.8004140257835388,0.0897224172949791,0.04809558391571045,0.4809558391571045,1.4205951988697052,1.4605932235717773,0.00024464712,0.00024464584,0.00045803486,0.0,0.12385742
31,3.1,0.004127025604248047,3.462682069729256,0,0,1,0,0,0,0.8016082048416138,0.07839443534612656,0.011941790580749512,0.11941790580749512,1.3829210698604584,1.4558048248291016,0.0002227436,0.00022274349,0.00041743528,0.0,0.22406551
32,3.2,0.010978221893310547,3.508870666969502,0,0,1,0,0,0,0.8015093803405762,0.09478551894426346,-0.0009882450103759766,-0.009882450103759766,1.3224105834960938,1.4498775005340576,0.000203288,0.00020328688,0.00038323324,0.0,0.34354737
33,3.3,0.013025999069213867,3.5555220105216705,0,0,1,0,0,0,0.8003025650978088,0.12148395925760269,-0.01206815242767334,-0.1206815242767334,1.2372810542583466,1.4433295726776123,0.00018401591,0.00018401591,0.00035074196,0.0,0.48471275
34,3.4,0.010500669479370117,3.602404859414838,0,0,0,0,0,0,0.80008465051651,0.13570179045200348,-0.0021791458129882812,-0.021791458129882812,1.1407823339104652,1.4374042749404907,0.00016715043,0.00016715043,0.00032075628,0.0,0.58684
35,3.5,0.008724451065063477,3.6494120250488287,0,0,0,0,0,0,0.7992083430290222,0.3538738787174225,-0.00876307487487793,-0.0876307487487793,1.1062959153205156,1.4340174198150635,0.00014955252,0.00014955252,0.0002873516,0.0,0.6037076
36,3.6,0.01789236068725586,3.6968305927462586,0,0,0,0,0,0,0.7993023991584778,0.11162818223237991,0.0009405612945556641,0.00940561294555664,1.154009960591793,1.4352446794509888,0.00014037559,0.00014037553,0.00027045698,0.0,0.5517173
37,3.7,0.006513833999633789,3.745107118426059,0,0,0,0,0,0,0.7998928427696228,0.21395061910152435,0.005904436111450195,0.05904436111450195,1.1688514202833176,1.4413357973098755,0.00012454373,0.00012454297,0.00024003844,0.0,0.47861424
38,3.8,0.00913095474243164,3.794681451932454,0,0,0,0,0,0,0.8020254373550415,0.17889174818992615,0.02132594585418701,0.21325945854187012,1.160625122487545,1.450950026512146,0.00010632215,0.00010632215,0.00020473232,0.0,0.4112592
39,3.9,0.008643150329589844,3.846195593922846,0,0,0,0,0,0,0.7990115880966187,-0.2090175598859787,-0.030138492584228516,-0.30138492584228516,1.1434344053268433,1.4641108512878418,9.154969e-05,9.154969e-05,0.00017647955,0.0,0.36837888
40,4.0,0.0005567073822021484,3.900261405747699,0,0,0,0,0,0,0.7869412302970886,-0.14329764246940613,-0.12070357799530029,-1.207035779953003,1.1272961497306824,1.4792349338531494,5.9175705e-05,5.9175705e-05,0.000112953014,0.0,0.34485096
41,4.1,0.008080005645751953,3.9576106936666218,0,0,0,0,0,0,0.8088297843933105,0.272320032119751,0.21888554096221924,2.1888554096221924,1.1290328409522772,1.4939955472946167,4.4860233e-05,4.4859993e-05,8.516517e-05,0.0,0.34314054
42,4.2,0.0031948089599609375,4.016449500741456,0,0,0,0,0,0,0.8195562958717346,-0.025214118883013725,0.10726511478424072,1.0726511478424072,1.1419392451643944,1.5,3.100525e-05,3.100525e-05,5.8414676e-05,0.0,0.35462505
43,4.3,0.0028951168060302734,4.077759754605318,0,0,0,0,0,0,0.7928518652915955,-0.2309051752090454,-0.2670443058013916,-2.670443058013916,1.1451958697289228,1.5,2.2359409e-05,2.2359409e-05,4.197089e-05,0.0,0.3676055
44,4.4,0.00031828880310058594,4.140711204182706,0,0,0,0,0,0,0.7930777072906494,0.0802285447716713,0.0022584199905395508,0.022584199905395508,1.1427774336189032,1.5,2.391474e-05,2.3914736e-05,4.5623725e-05,0.0,0.37729836
45,4.5,0.007494211196899414,4.204169109825956,0,0,0,0,0,0,0.7928299903869629,0.0930294468998909,-0.0024771690368652344,-0.024771690368652344,1.137099165469408,1.5,1.6445703e-05,1.6445607e-05,3.1176907e-05,0.0,0.3842312
46,4.6,0.0028603076934814453,4.267978112863004,0,0,0,0,0,0,0.846881091594696,-0.011842508800327778,0.5405110120773315,5.405110120773315,1.1301463204436004,1.4973379373550415,9.803109e-06,9.803101e-06,1.820072e-05,0.0,0.3144394
47,4.7,0.008936166763305664,4.332258763265687,0,0,0,0,0,0,0.8084980249404907,0.08556396514177322,-0.3838306665420532,-3.8383066654205322,1.1238324493169785,1.4830225706100464,6.763515e-06,6.763515e-06,1.2542678e-05,0.0,0.3221391
48,4.8,0.016391754150390625,4.396676257448855,0,0,0,0,0,0,0.821911096572876,0.030141500756144524,0.13413071632385254,1.3413071632385254,1.1198286600410938,1.4575159549713135,4.3759674e-06,4.3759474e-06,8.084355e-06,0.0,0.3296439
49,4.9,0.009477376937866211,4.458632305467569,0,0,0,0,0,0,0.8145690560340881,0.07720348238945007,-0.07342040538787842,-0.7342040538787842,1.1134926546365023,1.4291279315948486,2.7052158e-06,2.7052158e-06,4.973671e-06,0.0,0.333069
50,5.0,0.00967097282409668,4.520128416260282,0,0,0,0,0,0,0.7927833199501038,0.23323670029640198,-0.21785736083984375,-2.1785736083984375,1.1081094914115965,1.4130301475524902,4.4483563e-06,4.4483563e-06,8.79846e-06,0.0,0.32862717
51,5.1,0.01590251922607422,4.5805649422043215,0,0,0,0,0,0,0.7972733378410339,0.1168217584490776,0.04490017890930176,0.4490017890930176,1.106605070643127,1.4168773889541626,3.7657544e-06,3.7657544e-06,7.4327754e-06,0.0,0.31742114
52,5.2,0.008445143699645996,4.643918344018787,0,0,0,0,0,0,0.8004608750343323,0.15201927721500397,0.0318753719329834,0.318753719329834,1.1080702454783022,1.4330708980560303,2.7041212e-06,2.7040987e-06,5.286514e-06,0.0,0.30551124
53,5.3,0.011513948440551758,4.707263377231195,0,0,0,0,0,0,0.8005104660987854,0.331949383020401,0.00049591064453125,0.0049591064453125,1.1105829677544534,1.4509596824645996,1.6286253e-06,1.6286111e-06,3.0934495e-06,0.0,0.29714108
54,5.4,0.019153952598571777,4.773341812289124,0,0,0,0,0,0,0.7831175327301025,0.20535463094711304,-0.1739293336868286,-1.7392933368682861,1.1129900708328933,1.4654234647750854,1.4110243e-06,1.4110243e-06,2.6675013e-06,0.0,0.29259363
55,5.5,0.0263899564743042,4.70282034419537,0,0,0,0,0,0,0.733732283115387,0.4435954988002777,-0.49385249614715576,-4.938524961471558,0.5755865355022252,0.4653019309043884,0.0027291316,0.0027291316,0.005456344,0.0,0.29162505
56,5.6,0.01955115795135498,4.64214061785639,0,0,0,0,0,0,0.7814022898674011,0.11465322226285934,0.4767000675201416,4.767000675201416,0.7639253428205848,0.8141304850578308,0.0021686014,0.0021686014,0.004308762,0.0,0.29215667
57,5.7,0.02053356170654297,4.583972061178194,0,0,0,0,0,0,0.7821460962295532,0.21265138685703278,0.007438063621520996,0.07438063621520996,0.8882228462025523,1.0442969799041748,0.0015322771,0.0015322757,0.0029913497,0.0,0.29485205
58,5.8,0.028276562690734863,4.534853062702498,0,0,0,0,0,0,0.7357324957847595,0.4482882618904114,-0.464136004447937,-4.64136004447937,0.969263220205903,1.1957767009735107,0.0012044283,0.0012044283,0.0023586727,0.0,0.29781032
