time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,7.43282908591169,0,0,0,0,0,0,0.050209496170282364,-0.0016464954242110252,0.0,0.0,0.1249486431479454,0.12276160717010498,1.0770449e-12,1.0770449e-12,2.1531978e-12,0.0,1.9997239
1,0.1,1.6461010091006756e-05,7.492721039371386,0,0,0,0,0,0,0.13397279381752014,-0.001628442551009357,0.8376329764723778,8.376329764723778,0.935739278793335,1.0155348777770996,1.4145738e-08,1.4145738e-08,2.8152963e-08,0.0,1.3160205
2,0.2,1.888565020635724e-05,7.601781459705327,0,0,0,0,0,0,0.2070321887731552,1.159606472356245e-05,0.7305939495563507,7.305939495563507,1.1101629734039307,1.3441113233566284,4.0669457e-07,4.0669457e-07,8.13322e-07,0.0,0.66638696
3,0.3,2.0574487280100584e-05,7.7153172888947275,0,0,0,0,0,0,0.30802595615386963,0.00012871022045146674,1.0099376738071442,10.099376738071442,1.135254979133606,1.3409219980239868,1.9271574e-06,1.9271574e-06,3.8542967e-06,0.0,0.3668927
4,0.4,2.324976958334446e-05,7.815272351977676,0,0,0,0,0,0,0.4095248281955719,0.00023271676036529243,1.0149887204170227,10.149887204170227,1.121069351832072,1.2685967683792114,4.8026905e-06,4.8026927e-06,9.605379e-06,0.0,0.21668212
5,0.5,2.526759635657072e-05,7.894171573771189,0,0,0,0,0,0,0.511224091053009,0.0003252742753829807,1.0169926285743713,10.169926285743713,1.142829179763794,1.1953617334365845,1.1873021e-05,1.1873021e-05,2.3745553e-05,0.0,0.15543069
6,0.6,2.512673381716013e-05,7.952901513480903,0,0,0,0,0,0,0.6131560206413269,0.0003172667638864368,1.0193192958831787,10.193192958831787,1.1791340112686157,1.1892952919006348,3.0437228e-05,3.0437228e-05,6.0862887e-05,0.0,0.19249797
7,0.7,2.3562461137771606e-05,7.996034743173096,0,0,0,0,0,0,0.714955747127533,0.0003116878215223551,1.0179972648620605,10.179972648620605,1.192629297574361,1.207711935043335,4.7510348e-05,4.7510348e-05,9.498754e-05,0.0,0.36714327
8,0.8,0.018402772839181125,8.028755190828841,0,0,0,0,0,0,0.7310446500778198,0.46292176842689514,0.16088902950286865,1.6088902950286865,1.1988406976064045,1.2277021408081055,3.5974e-05,3.5974e-05,7.1903676e-05,0.0,0.567977
9,0.9,0.056085092946887016,8.054166737972594,0,0,0,0,0,0,0.7779311537742615,0.8400145769119263,0.4688650369644165,4.688650369644165,1.218841552734375,1.2431167364120483,3.7539907e-05,3.7539914e-05,7.500283e-05,0.0,0.596151
