scenario_group,experiment,method_label,record_count,intimate_space_intrusions
doors_hallway,doors_hallway,nav2,1,13.79310344827586
intersection_hallway,intersection_hallway,mcts,1,3.592814371257485
intersection_hallway,intersection_hallway,nav2,1,0.0
narrow_hallway,1_ahead_robot,mcts,1,0.0
narrow_hallway,1_ahead_robot,nav2,1,0.0
narrow_hallway,1_behind_robot,mcts,1,0.0
narrow_hallway,1_behind_robot,nav2,1,0.0
narrow_hallway,2_towards_robot,mcts,1,10.619469026548671
narrow_hallway,2_towards_robot,nav2,1,6.0109289617486334
narrower_hallway,narrower_hallway,mcts,1,19.642857142857142
narrower_hallway,narrower_hallway,nav2,1,22.162162162162165
t_shape_hallway,t_shape_hallway,mcts,1,12.844036697247708
t_shape_hallway,t_shape_hallway,nav2,1,10.0
wide_hallway,wide_hallway,mcts,1,0.0
wide_hallway,wide_hallway,nav2,1,0.0
