time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,2.320517981684935,0,0,1,0,0,0,0.03619622066617012,-0.00034821475856006145,0.0,0.0,0.1058117002248764,0.1058117002248764,0.0021238052,0.0021238052,0.0042476105,0.0,0.00014102308
1,0.1,8.176371920853853e-06,2.285735293663624,0,0,1,0,0,0,0.03752274811267853,-0.0003184906963724643,0.013265274465084076,0.13265274465084076,0.5204382538795471,0.5204382538795471,0.04216926,0.04216926,0.08433852,0.0,0.00014147884
2,0.2,5.936191882938147e-06,2.2220157408386148,0,0,1,0,0,0,0.10844093561172485,-0.0011577183613553643,0.7091818749904633,7.091818749904633,0.7894987463951111,0.7894987463951111,0.08234609,0.08234609,0.16469218,0.0,0.00014342206
3,0.3,1.6771082300692797e-05,2.1470296770444293,0,0,1,0,0,0,0.20778143405914307,-0.0014659339794889092,0.9934049844741821,9.934049844741821,0.9635313749313354,0.9635313749313354,0.10927469,0.10927471,0.2185494,0.0,0.000148498
4,0.4,2.2315827663987875e-05,2.0683234276822255,0,0,1,0,0,0,0.3013661503791809,-0.0015902582090348005,0.9358471632003784,9.358471632003784,1.076311469078064,1.076311469078064,0.12418782,0.12418782,0.24837564,0.0,0.00015905227
5,0.5,2.3919797968119383e-05,1.9907479383595668,0,0,1,0,0,0,0.3756709396839142,5.124138988321647e-05,0.7430478930473328,7.430478930473328,1.15020751953125,1.15020751953125,0.13460389,0.13460389,0.26920778,0.0,0.00017935983
6,0.6,2.471613697707653e-05,1.9173266174548895,0,0,1,0,0,0,0.4773237705230713,0.00016100947686936706,1.016528308391571,10.16528308391571,1.199472188949585,1.199472188949585,0.12815826,0.12815824,0.25631648,0.0,0.00021314793
7,0.7,2.4464912712574005e-05,1.8499219493081558,0,0,1,0,0,0,0.579120934009552,0.00045172841055318713,1.0179716348648071,10.179716348648071,1.2333111763000488,1.2333111763000488,0.11581557,0.11581561,0.23163119,0.0,0.00026412253
8,0.8,2.511299680918455e-05,1.789720047444383,0,0,1,0,0,0,0.6811280250549316,0.00022880497272126377,1.0200709104537964,10.200709104537964,1.2576624155044556,1.2576624155044556,0.0996467,0.099646695,0.1992934,0.0,0.00033238687
9,0.9,1.9345025066286325e-05,1.737405441258364,0,0,1,0,0,0,0.7827919721603394,0.00026223997701890767,1.0166394710540771,10.166394710540771,1.2760415077209473,1.2760415077209473,0.081223376,0.08122337,0.16244674,0.0,0.00041084806
10,1.0,0.0062474244623444974,1.6924222569783058,0,0,1,0,0,0,0.849602997303009,0.28658610582351685,0.6681102514266968,6.681102514266968,1.2904177904129028,1.2904177904129028,0.0715782,0.071578205,0.14315641,0.0,0.0005084304
11,1.1,0.0331169911660254,1.6471182270318065,0,0,1,0,0,0,0.8013777732849121,0.3425363600254059,-0.48225224018096924,-4.822522401809692,1.299220085144043,1.299220085144043,0.09562697,0.09562697,0.19125395,0.0,0.0006299296
12,1.2,0.034176215529441833,1.591749630033338,0,0,1,0,0,0,0.6998112797737122,0.34102338552474976,-1.0156649351119995,-10.156649351119995,1.3000330924987793,1.3000330924987793,0.14230993,0.14230993,0.28461987,0.0,0.00082709064
13,1.3,0.034181416034698486,1.527676048772502,0,0,1,0,0,0,0.6661807894706726,0.3422480523586273,-0.3363049030303955,-3.363049030303955,1.294466257095337,1.294466257095337,0.1677523,0.1677523,0.3355046,0.0,0.001139202
14,1.4,0.03419960290193558,1.469173457054056,0,0,1,0,0,0,0.7666560411453247,0.342332661151886,1.004752516746521,10.04752516746521,1.2911385297775269,1.2911385297775269,0.13908742,0.13908742,0.27817485,0.0,0.0015232052
15,1.5,0.031128644943237305,1.419366549761731,0,0,1,0,0,0,0.8464856147766113,0.17392398416996002,0.7982957363128662,7.982957363128662,1.2886936664581299,1.2886936664581299,0.11791072,0.11791072,0.23582144,0.0,0.0019721151
16,1.6,0.014287322759628296,1.37337137727242,0,0,1,0,0,0,0.8759070038795471,0.07127883285284042,0.2942138910293579,2.942138910293579,1.2878016233444214,1.2878016233444214,0.114481814,0.11448177,0.22896358,0.0,0.0024587573
17,1.7,0.0038738250732421875,1.3306427261523308,0,0,1,0,0,0,0.892708957195282,-0.0783480778336525,0.16801953315734863,1.6801953315734863,1.2876688241958618,1.2876688241958618,0.11442727,0.11442719,0.22885445,0.0,0.0030618683
18,1.8,0.007615014910697937,1.2886117747550516,0,0,1,0,0,0,0.8934080600738525,-0.07613247632980347,0.006991028785705566,0.06991028785705566,1.2864131927490234,1.2864131927490234,0.119979866,0.119979866,0.23995973,0.0,0.0037800448
19,1.9,0.00695464015007019,1.2484456225220288,0,0,1,0,0,0,0.9599363207817078,-0.06121356040239334,0.6652826070785522,6.6528260707855225,1.2847820520401,1.2847820520401,0.099637575,0.099637575,0.19927515,0.0,0.004591477
20,2.0,0.007917478680610657,1.214953573264632,0,0,1,0,0,0,0.9784395694732666,-0.08957578986883163,0.18503248691558838,1.8503248691558838,1.2862977981567383,1.2862977981567383,0.09774583,0.09774583,0.19549166,0.0,0.005393355
21,2.1,0.009544134140014648,1.1822709579272608,0,1,0,0,0,0,0.9792516827583313,-0.09872541576623917,0.008121132850646973,0.08121132850646973,1.2862378358840942,1.2862378358840942,0.10179343,0.1017935,0.20358694,0.0,0.0063282656
22,2.2,0.017224818468093872,1.1500727509162934,0,1,0,0,0,0,0.9792479276657104,-0.3542303740978241,-3.7550926208496094e-05,-0.00037550926208496094,1.2848302125930786,1.2848302125930786,0.10567802,0.10567802,0.21135604,0.0,0.0074159224
23,2.3,0.05342838913202286,1.1158848005322004,0,1,0,0,0,0,0.9393855333328247,-0.6326772570610046,-0.3986239433288574,-3.986239433288574,1.2809908390045166,1.2809908390045166,0.12583686,0.12583686,0.25167373,0.0,0.008735748
24,2.4,0.06099490076303482,1.0824489986630301,0,1,0,0,0,0,0.9491446614265442,-0.5984747409820557,0.09759128093719482,0.9759128093719482,1.2771680355072021,1.2771680355072021,0.1257987,0.12579869,0.2515974,0.0,0.010164374
25,2.5,0.05337592586874962,1.0502779222883174,0,1,0,0,0,0,0.946527361869812,-0.2910159230232239,-0.026172995567321777,-0.2617299556732178,1.2740130424499512,1.2740130424499512,0.13297443,0.13297443,0.26594886,0.0,0.012003377
26,2.6,0.008732400834560394,1.0159713027630226,0,1,0,0,0,0,0.9079676270484924,0.10766380280256271,-0.3855973482131958,-3.855973482131958,1.2682437896728516,1.2682437896728516,0.15842432,0.15842432,0.31684864,0.0,0.014343741
27,2.7,0.027580113150179386,0.9779230658930687,0,1,0,0,0,0,0.8635956645011902,0.428503155708313,-0.44371962547302246,-4.437196254730225,1.2577651739120483,1.2577651739120483,0.18711592,0.18711592,0.37423185,0.0,0.01725577
28,2.8,0.01199660962447524,0.9406976243259242,0,1,0,0,0,0,0.8976404070854187,-0.1428871750831604,0.34044742584228516,3.4044742584228516,1.2465332746505737,1.2465332746505737,0.17132477,0.17132477,0.34264955,0.0,0.020539094
29,2.9,0.027641134802252054,0.9085968298848512,0,1,0,0,0,0,0.9371441006660461,-0.41292688250541687,0.3950369358062744,3.950369358062744,1.2388417720794678,1.2388417720794678,0.15399821,0.15399821,0.30799642,0.0,0.024372349
30,3.0,0.040572069585323334,0.8789716087086963,0,1,0,0,0,0,0.9416189789772034,-0.4030137062072754,0.044748783111572266,0.44748783111572266,1.2321780920028687,1.2321780920028687,0.15712143,0.15712143,0.31424287,0.0,0.0285589
31,3.1,0.02673744410276413,0.8499025305346619,0,1,0,0,0,0,0.9371744990348816,0.058645058423280716,-0.04444479942321777,-0.44444799423217773,1.2214877605438232,1.2214877605438232,0.16336079,0.16336076,0.32672155,0.0,0.03313618
32,3.2,0.02495957911014557,0.8236198764808464,0,1,0,0,0,0,0.9828818440437317,0.4384918808937073,0.457073450088501,4.57073450088501,1.211537480354309,1.211537480354309,0.13714537,0.13714531,0.27429068,0.0,0.037597176
33,3.3,0.046041568741202354,0.8018016967725541,0,1,0,0,0,0,0.9966878294944763,0.4537614583969116,0.1380598545074463,1.380598545074463,1.2049095630645752,1.2049095630645752,0.1300472,0.13004717,0.26009437,0.0,0.041529637
34,3.4,0.040672898292541504,0.7809966243151658,0,1,0,0,0,0,0.9933813810348511,0.22047752141952515,-0.03306448459625244,-0.3306448459625244,1.1980396509170532,1.1980396509170532,0.13347927,0.13347927,0.26695853,0.0,0.04584438
