time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,13.298895631549247,0,0,0,0,0,0,0.038414012640714645,-0.00031553098233416677,0.0,0.0,0.05400004796683788,0.054035745561122894,5.514905e-16,5.514905e-16,1.102981e-15,0.0,0.0024173735
1,0.1,7.684982847422361e-06,13.268138307069378,0,0,0,0,0,0,0.038418009877204895,-0.00031746423337608576,3.997236490249634e-05,0.0003997236490249634,0.4883773624897003,0.48875758051872253,4.8405253e-09,4.8405253e-09,9.681051e-09,0.0,0.0024568574
2,0.2,8.239061571657658e-06,13.199581050658402,0,0,0,0,0,0,0.07676123827695847,0.0002672160044312477,0.3834322839975357,3.834322839975357,0.7771655917167664,0.7778039574623108,1.1602232e-06,1.1602232e-06,2.3204461e-06,0.0,0.0024207456
3,0.3,1.3862940249964595e-05,13.09804387549789,0,0,0,0,0,0,0.17355161905288696,0.00029758771415799856,0.967903807759285,9.67903807759285,0.9691609740257263,0.9699118137359619,1.8693123e-05,1.8693123e-05,3.7386242e-05,0.0,0.0023743194
4,0.4,1.8324091797694564e-05,12.971077332810426,0,0,0,0,0,0,0.2742181122303009,0.0003378072869963944,1.0066649317741394,10.066649317741394,1.096802830696106,1.0975933074951172,9.322252e-05,9.322252e-05,0.00018644502,0.0,0.0023726933
5,0.5,2.1441839635372162e-05,12.823858732441655,0,0,0,0,0,0,0.3756173849105835,0.0003231849696021527,1.013992726802826,10.13992726802826,1.1816548109054565,1.1824651956558228,0.00027357964,0.00027357964,0.00054715923,0.0,0.0023709277
6,0.6,2.398673677816987e-05,12.659830915652503,0,0,0,0,0,0,0.47728431224823,0.0002598069258965552,1.0166692733764648,10.166692733764648,1.2380496263504028,1.238861083984375,0.0006073355,0.0006073355,0.0012146707,0.0,0.0023690907
7,0.7,2.436124486848712e-05,12.481282900683198,0,0,0,0,0,0,0.5790775418281555,0.00016070868878159672,1.0179322957992554,10.179322957992554,1.2755134105682373,1.276306390762329,0.001146705,0.0011467045,0.002293409,0.0,0.0023672418
8,0.8,2.724409569054842e-05,12.289719076341171,0,0,0,0,0,0,0.6811246275901794,-0.00011491860641399398,1.0204708576202393,10.204708576202393,1.300374686717987,1.3011270761489868,0.0019539872,0.0019539883,0.003907975,0.0,0.0023654369
9,0.9,1.8711434677243233e-05,12.086186322219046,0,0,0,0,0,0,0.7828447222709656,-0.00032606039894744754,1.0172009468078613,10.172009468078613,1.316838026046753,1.317524790763855,0.0031068567,0.0031068563,0.0062137106,0.0,0.0023637363
10,1.0,0.0035489960573613644,11.872135629263601,0,0,0,0,0,0,0.8429610729217529,0.09821903705596924,0.6011635065078735,6.011635065078735,1.3276963233947754,1.3282898664474487,0.0042325454,0.0042325454,0.008465087,0.0,0.002362207
11,1.1,0.008683870546519756,11.650972155852752,0,0,0,0,0,0,0.9339277744293213,0.04718901216983795,0.9096670150756836,9.096670150756836,1.3348249793052673,1.3353060483932495,0.0060969694,0.0060969694,0.012193933,0.0,0.0023609041
12,1.2,0.01100612711161375,11.42201044466621,0,0,0,0,0,0,0.9793765544891357,-0.2586611807346344,0.45448780059814453,4.544878005981445,1.3394405841827393,1.3397797346115112,0.007655682,0.0076556816,0.015311355,0.0,0.0023599225
13,1.3,0.03137418162077665,11.190186991961808,0,0,0,0,0,0,0.9461176991462708,-0.3110964000225067,-0.3325885534286499,-3.325885534286499,1.3424178957939148,1.342613935470581,0.007876283,0.007876288,0.015752552,0.0,0.0023592755
14,1.4,0.02318115159869194,10.964058968555745,0,0,0,0,0,0,0.8917059898376465,-0.11861197650432587,-0.5441170930862427,-5.441170930862427,1.344411849975586,1.3445181846618652,0.007722708,0.007722714,0.015445396,0.0,0.0023588883
15,1.5,0.008930902928113937,10.74327828018227,0,0,0,0,0,0,0.8511621356010437,0.2301865518093109,-0.40543854236602783,-4.054385423660278,1.345744788646698,1.3457919359207153,0.007942838,0.007942843,0.015885655,0.0,0.0023586536
16,1.6,0.029701706022024155,10.526163836928836,0,0,0,0,0,0,0.8214662671089172,0.15487481653690338,-0.29695868492126465,-2.9695868492126465,1.346608579158783,1.3465993404388428,0.008502849,0.008502856,0.017005686,0.0,0.002358533
17,1.7,0.01012536371126771,10.31166324926627,0,0,0,0,0,0,0.8018186092376709,0.09025809168815613,-0.19647657871246338,-1.9647657871246338,1.3471466898918152,1.3470757007598877,0.009161619,0.009161617,0.018323217,0.0,0.002358532
18,1.8,0.009289256297051907,10.096993871406065,0,0,0,0,0,0,0.8028780817985535,0.09602086991071701,0.010594725608825684,0.10594725608825684,1.34742933511734,1.3472723960876465,0.010349801,0.010349799,0.020699581,0.0,0.0023586876
19,1.9,0.009826428722590208,9.881505031466931,0,0,0,0,0,0,0.8330655097961426,0.11221224814653397,0.3018742799758911,3.018742799758911,1.34751957654953,1.3472480773925781,0.012475589,0.012475587,0.024951154,0.0,0.0023590536
20,2.0,0.018332201056182384,9.65910231431167,0,0,0,0,0,0,0.9030802249908447,0.353553831577301,0.7001471519470215,7.001471519470215,1.3473411798477173,1.3468624353408813,0.01637827,0.01637827,0.032756515,0.0,0.0023597842
21,2.1,0.0346050038933754,9.433972192479823,0,0,0,0,0,0,0.9083636999130249,0.3477604389190674,0.05283474922180176,0.5283474922180176,1.3470290899276733,1.3463034629821777,0.018758068,0.01875806,0.03751612,0.0,0.0023610557
22,2.2,0.03472614288330078,9.209408927116481,0,0,0,0,0,0,0.8716726303100586,0.30468761920928955,-0.3669106960296631,-3.669106960296631,1.3466750979423523,1.3457096815109253,0.019594887,0.019594887,0.03575295,0.0,0.0023628743
23,2.3,0.0292939692735672,8.993032013342155,0,0,0,0,0,0,0.7915782928466797,0.1442852020263672,-0.8009433746337891,-8.00943374633789,1.3465049862861633,1.3454246520996094,0.018553102,0.018553102,0.037106205,0.0,0.0023646508
24,2.4,0.0013043582439422607,8.782200984352098,0,0,0,0,0,0,0.7581604719161987,-0.0599307082593441,-0.33417820930480957,-3.3417820930480957,1.3463014364242554,1.3450418710708618,0.019405963,0.019405963,0.038811922,0.0,0.0023648408
25,2.5,0.008062571287155151,8.57255307532844,0,0,0,0,0,0,0.7466524243354797,-0.2197643667459488,-0.11508047580718994,-1.1508047580718994,1.3460461497306824,1.344592809677124,0.02127374,0.02127374,0.038976315,0.0,0.0023629596
26,2.6,0.035148561000823975,8.365718996112578,0,0,0,0,0,0,0.7184025645256042,-0.42740821838378906,-0.2824985980987549,-2.824985980987549,1.3458855748176575,1.3443344831466675,0.02249244,0.02249244,0.044984873,0.0,0.0023613367
27,2.7,0.043416235595941544,8.159635820739878,0,0,0,0,0,0,0.7212474942207336,-0.43634936213493347,0.028449296951293945,0.28449296951293945,1.3456390500068665,1.3439096212387085,0.025195684,0.025195675,0.05039133,0.0,0.0023614257
28,2.8,0.02258913777768612,7.9543721794198845,0,0,0,0,0,0,0.7073714137077332,-0.10435890406370163,-0.13876080513000488,-1.3876080513000488,1.3453145027160645,1.3433712720870972,0.027222194,0.027222194,0.054444328,0.0,0.0023630355
29,2.9,0.010493975132703781,7.749625310147042,0,0,0,0,0,0,0.708366870880127,-0.10660964995622635,0.009954571723937988,0.09954571723937988,1.3449085354804993,1.3427095413208008,0.030382022,0.030382022,0.060763955,0.0,0.0023658448
