time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,13.29888011623259,0,0,0,0,0,0,0.037522345781326294,-0.0003224968386348337,0.0,0.0,0.0652317963540554,0.0652613490819931,6.366074e-16,6.366074e-16,1.2732148e-15,0.0,1.2175767
1,0.1,7.561669917777181e-06,13.267461463038321,0,0,0,0,0,0,0.03683430328965187,-0.00031142288935370743,-0.006880424916744232,-0.06880424916744232,0.5832052826881409,0.5834019184112549,1.0580145e-08,1.0580146e-08,2.116029e-08,0.0,1.0980619
2,0.2,2.909015165641904e-06,13.198889427530334,0,0,0,0,0,0,0.0770505741238594,-0.0009245450492016971,0.40216270834207535,4.0216270834207535,0.9043043851852417,0.904619038105011,1.5508753e-06,1.5508753e-06,3.101749e-06,0.0,0.89255005
3,0.3,1.5631347196176648e-05,13.097829152208234,0,0,0,0,0,0,0.17403769493103027,-0.0011183911701664329,0.9698712080717087,9.698712080717087,1.092508614063263,1.0929173231124878,1.7164019e-05,1.716402e-05,3.4328004e-05,0.0,0.6935356
4,0.4,2.0359933841973543e-05,12.971471458524226,0,0,0,0,0,0,0.2750384211540222,-0.0014522377168759704,1.0100072622299194,10.100072622299194,1.199353277683258,1.1998040676116943,7.3487296e-05,7.348724e-05,0.00014697434,0.0,0.5351994
5,0.5,2.4811422917991877e-05,12.825082338740676,0,0,0,0,0,0,0.36900949478149414,-0.0015722692478448153,0.9397107362747192,9.397107362747192,1.2596855163574219,1.2601591348648071,0.00020432656,0.00020432672,0.0004086528,0.0,0.41857094
6,0.6,2.5770190404728055e-05,12.662060743659195,0,0,0,0,0,0,0.4434318542480469,6.523599586216733e-05,0.7442235946655273,7.442235946655273,1.294302761554718,1.2947875261306763,0.0004228371,0.0004228371,0.0008456734,0.0,0.334569
7,0.7,2.422017860226333e-05,12.48467412731635,0,0,0,0,0,0,0.5451653599739075,0.00010147672583116218,1.017335057258606,10.17335057258606,1.314736008644104,1.3152210712432861,0.00085464603,0.0008546461,0.0017092908,0.0,0.2738537
8,0.8,2.655471325851977e-05,12.294411577914914,0,0,0,0,0,0,0.6472021341323853,0.0003459241706877947,1.0203677415847778,10.203677415847778,1.3271712064743042,1.3276417255401611,0.0015520056,0.001552005,0.0031040092,0.0,0.22931801
9,0.9,2.0214618416503072e-05,12.092272379647998,0,0,0,0,0,0,0.7488707900047302,0.00023809295089449733,1.0166865587234497,10.166865587234497,1.3349220156669617,1.335355281829834,0.002598316,0.0025983157,0.00519663,0.0,0.19604379
