time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,0.74947044265596,0,1,0,0,0,0,0.036241479218006134,-0.0003526385116856545,0.0,0.0,0.32666029036045074,0.32859987020492554,0.06151159,0.06151159,0.12302318,0.0,0.06394565
1,0.1,7.344060577452183e-06,0.7485464779204012,0,1,0,0,0,0,0.039016976952552795,-0.00031302476418204606,0.027754977345466614,0.27754977345466614,0.7215841114521027,0.727165937423706,0.044789374,0.044789374,0.08957874,0.0,0.063100524
2,0.2,1.1378288036212325e-05,0.7506309710615049,0,1,0,0,0,0,0.10796047002077103,0.0001886498648673296,0.6894349306821823,6.894349306821823,0.9842337518930435,0.9925419092178345,0.023323737,0.023323737,0.04664734,0.0,0.0620157
3,0.3,1.7342623323202133e-05,0.7577181849728778,0,1,0,0,0,0,0.20698441565036774,0.00030528599745593965,0.9902394562959671,9.902394562959671,1.1590193510055542,1.1696927547454834,0.014072672,0.014072672,0.028144304,0.0,0.06098736
4,0.4,2.040932304225862e-05,0.7705222127968885,0,1,0,0,0,0,0.3079874813556671,0.00035986461443826556,1.0100306570529938,10.100306570529938,1.2755635380744934,1.2889020442962646,0.010957418,0.010957418,0.021911167,0.0,0.060175397
5,0.5,2.3071042960509658e-05,0.7886099512782303,0,1,0,0,0,0,0.40950098633766174,0.00037934078136458993,1.0151350498199463,10.151350498199463,1.3533815145492554,1.3695809841156006,0.010711888,0.010711888,0.021414958,0.0,0.059424914
6,0.6,2.5226559955626726e-05,0.8108205245829916,0,1,0,0,0,0,0.5112094283103943,0.0003518679295666516,1.0170844197273254,10.170844197273254,1.4053601026535034,1.4242770671844482,0.012178025,0.012178025,0.024338966,0.0,0.058730513
7,0.7,2.6089430321007967e-05,0.8356457356359914,0,1,0,0,0,0,0.6131028532981873,0.00016261926793958992,1.0189342498779297,10.189342498779297,1.4400615394115448,1.4613077640533447,0.014764311,0.014764311,0.02949937,0.0,0.057995416
8,0.8,2.3291446268558502e-05,0.8615215219863817,0,1,0,0,0,0,0.7149674892425537,0.00011302709026494995,1.0186463594436646,10.186463594436646,1.463182270526886,1.4862180948257446,0.01761029,0.01761029,0.035173573,0.0,0.057196774
9,0.9,2.93043558485806e-05,0.8888975503894485,0,1,0,0,0,0,0.6813315749168396,-0.00026770305703394115,-0.3363591432571411,-3.363591432571411,1.4778367578983307,1.5,0.013105809,0.013105784,0.026163157,0.0,0.056309514
10,1.0,1.5521887689828873e-05,0.9239133257776055,0,1,0,0,0,0,0.5797045230865479,-0.0001371832622680813,-1.0162705183029175,-10.162705183029175,1.4852728247642517,1.5,0.0069944034,0.0069944207,0.013947703,0.0,0.055525996
11,1.1,1.3649056199938059e-05,0.9630611489050054,0,1,0,0,0,0,0.6818872094154358,-0.00046150514390319586,1.0218268632888794,10.218268632888794,1.4901995062828064,1.5,0.009757822,0.009757822,0.01945649,0.0,0.054728772
12,1.2,0.009685055760201067,1.0007537230848085,0,1,0,0,0,0,0.7410897612571716,0.24364198744297028,0.5920255184173584,5.920255184173584,1.4934540092945099,1.5,0.010000644,0.010000645,0.019924527,0.0,0.05383177
