time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,2.6344697721752497,0,0,1,0,0,0,0.3518446981906891,0.5304999351501465,0.0,0.0,0.9492241740226746,0.9492241740226746,1.4946347e-19,1.4946347e-19,2.9892694e-19,0.0,2.8649898e-05
1,0.96,0.16165639460086823,3.071341656451826,0,0,1,0,0,0,0.616495668888092,0.14831195771694183,0.2756780944764614,0.287164681746314,0.9989935755729675,0.9989935755729675,1.1680487e-13,1.1680487e-13,2.3360974e-13,0.0,2.3387764e-05
2,1.92,0.060651540756225586,3.4278625696410474,0,0,1,0,0,0,0.7372323274612427,0.030770471319556236,0.12576735268036526,0.13100765904204714,0.9999807476997375,0.9999807476997375,1.6406652e-09,1.6406652e-09,3.2813303e-09,0.0,1.8257488e-05
3,2.9,0.059503912925720215,3.77481222286396,0,0,0,0,0,0,0.6350034475326538,-0.001331352279521525,-0.10431518360060088,-0.10644406489857233,1.0,1.0,3.995656e-18,3.995656e-18,7.991312e-18,0.0,1.307557e-05
4,3.88,0.07897119224071503,4.132078129437771,0,0,0,0,0,0,0.7051624059677124,-0.2748127579689026,0.07159077391332509,0.07305181011563786,1.0,1.0,1.4976177e-15,1.4976177e-15,2.9952353e-15,0.0,9.920149e-06
5,4.86,0.07470013201236725,4.4479062324941765,0,0,0,0,0,0,0.7044326066970825,0.12081939727067947,-0.0007446931332957988,-0.0007598909523426518,1.0,1.0,7.2316854e-17,7.2316854e-17,1.4463371e-16,0.0,1.4123932e-05
6,5.84,0.032777339220047,4.784076740275075,0,0,0,0,0,0,0.6121313571929932,-0.004661191254854202,-0.09418494847356057,-0.09610709027914344,0.9999999403953552,0.9999999403953552,0.0,0.0,0.0,0.0,1.1360863e-05
7,6.8100000000000005,0.19259434565901756,5.090819866322588,0,0,0,0,0,0,0.6592176556587219,-0.08944541960954666,0.048542575737864704,0.050043892513262585,0.9999998211860657,0.9999998211860657,5.872744e-20,5.872744e-20,1.1745488e-19,0.0,3.6580986e-05
8,7.78,0.005991153419017792,5.3919568853184,0,0,0,0,0,0,0.6804959177970886,0.2403007298707962,0.02193635271996567,0.02261479661852131,0.9999997019767761,0.9999997019767761,3.5326043e-19,3.5326043e-19,7.0652086e-19,0.0,6.186179e-05
9,8.75,0.02209177240729332,5.701011170078939,0,0,0,0,0,0,0.6703302264213562,-0.07745230942964554,-0.010480094201786002,-0.010804220826583508,0.9999995827674866,0.9999995827674866,5.3727784e-22,5.3727784e-22,1.0745557e-21,0.0,8.7269786e-05
10,9.72,0.03930379170924425,6.005985206980995,0,0,0,0,0,0,0.7120369076728821,-0.04842371866106987,0.04299657860982049,0.04432636970084587,0.999999463558197,0.999999463558197,7.253899e-20,7.253899e-20,1.4507798e-19,0.0,0.00011287456
11,10.69,0.054330156184732914,6.316070982198323,0,0,0,0,0,0,0.7093844413757324,0.15273581445217133,-0.002734501337267689,-0.0028190735435749373,0.9999993443489075,0.9999993443489075,5.2152332e-20,5.2152332e-20,1.04304664e-19,0.0,0.00013875181
12,11.66,0.05283596715889871,6.580909187905952,0,0,0,0,0,0,0.7751429677009583,0.2353363186120987,0.06779229518064518,0.06988896410375792,0.9999992251396179,0.9999992251396179,9.065663e-17,9.065663e-17,1.8131327e-16,0.0,0.00016499056
13,12.64,0.0037688459269702435,6.819614020492999,0,0,0,0,0,0,0.6725088357925415,-0.16448932886123657,-0.10472870602899668,-0.1068660265602007,0.9999990463256836,0.9999990463256836,0.0,0.0,0.0,0.0,0.00019200103
14,13.62,0.08657871163450181,6.502652983621407,0,0,0,0,0,0,0.4527662694454193,-0.19547824561595917,-0.22422710851747163,-0.2288031719566037,0.00010958108759950846,0.00010958108759950846,5.0672916e-05,5.0672916e-05,0.00010134583,0.0,0.00019835072
15,14.59,0.48008280992507935,5.991272526348789,0,0,0,0,0,0,0.6917992830276489,-0.7414949536323547,0.24642578719817487,0.2540472032970875,0.00042217833106406033,0.00042217833106406033,0.00076023996,0.00076023996,0.0015204799,0.0,0.00019796863
16,15.56,0.28987857699394226,5.3856372345622265,0,0,0,0,0,0,0.6674845218658447,-0.1281481683254242,-0.025066764084334225,-0.025842024829210542,0.0010026488453149796,0.0010026488453149796,0.0007579528,0.0007579528,0.0015159056,0.0,0.00019647757
17,16.54,0.501133993268013,4.914011404410402,0,0,0,0,0,0,0.44188857078552246,0.3812299966812134,-0.2301999500819615,-0.2348979082468995,0.0009202719666063786,0.0009202719666063786,0.0005193938,0.0005193938,0.0010387877,0.0,0.00019484865
18,17.51,0.14114152640104294,4.459171584528345,0,0,0,0,0,0,0.44957026839256287,-0.08171721547842026,0.00791927588354681,0.008164201941800836,0.0014882927061989903,0.0014882927061989903,0.0011457463,0.0011457463,0.0022914927,0.0,0.0001931892
19,18.48,0.22127289324998856,3.9132667916464516,0,0,0,0,0,0,0.4541420340538025,-0.16406424343585968,0.004713160475504767,0.004858928325262646,0.004777181427925825,0.004777181427925825,0.00242858,0.00242858,0.00485716,0.0,3.7428686e-05
