time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,2.241926601160807,0,0,1,0,0,0,0.1002030000090599,0.10477033257484436,0.0,0.0,0.7459824681282043,0.7459824681282043,0.072249606,0.072249606,0.14449921,0.0,0.00014262382
1,0.95,0.2315730929840356,1.4683983963159668,0,0,1,0,0,0,0.600853681564331,0.0077719371765851974,0.5270007174266013,0.5547375972911592,1.25574791431427,1.25574791431427,0.19980313,0.19980313,0.39960626,0.0,0.0015463553
2,1.9100000000000001,0.015434637665748596,0.8610185365157677,0,1,0,0,0,0,0.6322391033172607,0.21131949126720428,0.03269314765930176,0.034055362145106,1.1774828433990479,1.1774828433990479,0.2865538,0.2865538,0.5731076,0.0,0.03202068
3,2.86,0.02352115511894226,0.4942054067716999,0,1,0,0,0,0,0.6518064737319946,-0.02695528045296669,0.020597232015509354,0.021681296858430902,0.8603079915046692,0.8603079915046692,0.17016199,0.17016199,0.34032398,0.0,0.21246476
4,3.81,0.04210264980792999,0.49585248765592826,0,1,0,0,0,0,0.6161511540412903,-0.159132182598114,-0.037531915463899314,-0.03950727943568349,0.8484129905700684,0.8484129905700684,0.0889967,0.0889967,0.1779934,0.0,0.21957639
5,4.76,0.12942609935998917,0.554483074105621,0,1,0,0,0,0,0.6222747564315796,-0.09359822422266006,0.006445897252936113,0.006785155003090645,1.1035127639770508,1.1035127639770508,0.07952237,0.07952237,0.15904474,0.0,0.14489971
6,5.73,0.024459578096866608,0.6488737694019939,0,1,0,0,0,0,0.7015347480773926,0.0459662564098835,0.08171133159362164,0.08423848617899138,1.2915618419647217,1.2915618419647217,0.043020383,0.043020383,0.086040765,0.0,0.079585776
7,6.68,0.004789069294929504,0.8325852802456062,0,1,0,0,0,0,0.6405913829803467,0.003031359985470772,-0.06415091062846937,-0.06752727434575723,1.350000023841858,1.350000023841858,0.020783667,0.020783667,0.041567333,0.0,0.028823119
8,7.64,0.04501289874315262,1.119723978403052,0,1,0,0,0,0,0.6407477855682373,-0.04508690908551216,0.00016291936238606772,0.0001697076691521539,1.350000023841858,1.350000023841858,0.0073660207,0.0073660207,0.014732041,0.0,0.0058676363
9,8.59,0.011923357844352722,1.5074446160634514,0,0,1,0,0,0,0.7052973508834839,-0.04189465567469597,0.0679469108581543,0.07152306406121506,1.350000023841858,1.350000023841858,0.0009590838,0.00095908437,0.0019181682,0.0,0.0007831224
10,9.54,0.0728866308927536,1.9675571429415681,0,0,1,0,0,0,0.7245128154754639,-0.1161235123872757,0.02022680483366314,0.021291373509119096,1.350000023841858,1.350000023841858,9.7438526e-05,9.743862e-05,0.00019487715,0.0,0.00048386838
11,10.5,0.05167504958808422,2.486791381893127,0,0,1,0,0,0,0.6577509641647339,-0.17677637934684753,-0.06954359511534373,-0.07244124491181639,1.350000023841858,1.350000023841858,1.1098015e-05,1.1098015e-05,2.219603e-05,0.0,0.00029221168
12,11.48,0.07635711692273617,3.0953719211804076,0,0,1,0,0,0,0.49318352341651917,0.27976295351982117,-0.1679259599471579,-0.17135302035424274,1.350000023841858,1.350000023841858,1.5525393e-06,1.5525393e-06,3.1050786e-06,0.0,0.000156502
13,12.44,0.20726406574249268,3.8999127046803324,0,0,0,0,0,0,0.5097522139549255,-0.6869181394577026,0.017259052644173305,0.017978179837680526,1.350000023841858,1.350000023841858,2.3006642e-07,2.3006642e-07,4.6013284e-07,0.0,7.200791e-05
14,13.42,0.42752791941165924,4.587922063954773,0,0,0,0,0,0,0.695557177066803,-0.28283393383026123,0.1895969011345688,0.1934662256475192,1.350000023841858,1.350000023841858,7.3863026e-07,7.386316e-07,1.4772619e-06,0.0,4.540897e-05
15,14.39,0.04938322305679321,5.257250830549557,0,0,0,0,0,0,0.6490725874900818,0.656452476978302,-0.04792225729558886,-0.0494043889645246,1.3499927520751953,1.3499927520751953,2.3883958e-08,2.3883958e-08,4.7767916e-08,0.0,0.00025049708
16,15.35,0.2390802800655365,5.167280925866504,0,0,0,0,0,0,0.631752073764801,0.08749119192361832,-0.01804220179716746,-0.01879396020538277,0.0006950387614779174,0.0006950387614779174,0.0013599212,0.0013599212,0.0027198424,0.0,0.00036792178
