time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,13.298722684106705,0,0,0,0,0,0,0.0440809391438961,-0.0057988581247627735,0.0,0.0,0.05400004796683788,0.054035745561122894,2.6096801e-15,2.6096801e-15,5.2193603e-15,0.0,0.0024173735
1,0.1,0.000910095899598673,13.261522800070875,0,0,0,0,0,0,0.13205452263355255,-0.00988314300775528,0.8797358348965645,8.797358348965645,0.4883773624897003,0.48875758051872253,4.9576645e-08,4.9576645e-08,9.915328e-08,0.0,0.0024568574
2,0.2,0.0008677419973537326,13.179386838132087,0,0,0,0,0,0,0.23224806785583496,-0.010331721045076847,1.001935452222824,10.019354522228241,0.7771655321121216,0.7778038382530212,5.8998535e-06,5.8998535e-06,1.1799706e-05,0.0,0.0024207456
3,0.3,0.0008635594276711345,13.064028838071287,0,0,0,0,0,0,0.3260047137737274,-0.010447903536260128,0.9375664591789246,9.375664591789246,0.9691599607467651,0.9699099659919739,5.5158765e-05,5.5158765e-05,0.000110317524,0.0,0.0023743198
4,0.4,0.000862175365909934,12.923201194462163,0,0,0,0,0,0,0.40035852789878845,-0.00881056860089302,0.7435381412506104,7.4353814125061035,1.096797525882721,1.0975841283798218,0.00019049445,0.00019049445,0.00038098887,0.0,0.0023726972
5,0.5,0.0008615616243332624,12.76209799533577,0,0,0,0,0,0,0.5020513534545898,-0.008700267411768436,1.016928255558014,10.16928255558014,1.181639015674591,1.1824384927749634,0.00049909507,0.00049909507,0.0009981899,0.0,0.0023709433
6,0.6,0.0008612573146820068,12.58418367232809,0,0,0,0,0,0,0.6039391160011292,-0.008583514019846916,1.018877625465393,10.18877625465393,1.2380149960517883,1.238803744316101,0.0010289071,0.0010289071,0.002057814,0.0,0.002369136
7,0.7,0.0008628563955426216,12.391742288935882,0,0,0,0,0,0,0.7058076858520508,-0.008637107908725739,1.0186856985092163,10.186856985092163,1.2754482626914978,1.276200532913208,0.0018373064,0.0018373055,0.003674611,0.0,0.0023673465
8,0.8,0.028999846428632736,12.190740094338135,0,0,0,0,0,0,0.7442271709442139,0.44563767313957214,0.38419485092163086,3.8419485092163086,1.300287663936615,1.3009873628616333,0.0025177628,0.002517762,0.0050355233,0.0,0.0023656366
9,0.9,0.032792672514915466,11.986376274577863,0,0,0,0,0,0,0.7587553858757019,0.24713028967380524,0.14528214931488037,1.4528214931488037,1.316765308380127,1.3174080848693848,0.0031030667,0.0031030667,0.0062061334,0.0,0.002364039
10,1.0,0.018873438239097595,11.776965438654829,0,0,0,0,0,0,0.8002285361289978,0.25472432374954224,0.414731502532959,4.14731502532959,1.327666461467743,1.3282397985458374,0.004028066,0.004028066,0.008056132,0.0,0.0023625796
11,1.1,0.03936641663312912,11.566057916233705,0,0,0,0,0,0,0.769250750541687,0.6198794841766357,-0.3097778558731079,-3.097778558731079,1.3348666429519653,1.3353679180145264,0.0042200033,0.0042200037,0.0084400065,0.0,0.002361215
12,1.2,0.04863864183425903,11.359873773875428,0,0,0,0,0,0,0.6880600452423096,0.43371185660362244,-0.8119070529937744,-8.119070529937744,1.3396431803703308,1.3400847911834717,0.0037790285,0.0037790285,0.007558055,0.0,0.0023594634
13,1.3,0.036032140254974365,11.161674788791926,0,0,0,0,0,0,0.6068578362464905,0.30541011691093445,-0.8120220899581909,-8.12022089958191,1.342849314212799,1.3432667255401611,0.003346073,0.003346073,0.006692144,0.0,0.0023573637
14,1.4,0.02536223828792572,10.964887691214072,0,0,0,0,0,0,0.6378247737884521,0.1586531102657318,0.3096693754196167,3.096693754196167,1.3449625968933105,1.3453510999679565,0.0040605734,0.0040605734,0.008121142,0.0,0.0023550596
15,1.5,0.003035113215446472,10.768919702004261,0,0,0,0,0,0,0.611381471157074,0.08542616665363312,-0.26443302631378174,-2.6443302631378174,1.3463408946990967,1.3466925621032715,0.00423428,0.00423428,0.008468556,0.0,0.0023525958
16,1.6,0.006555795669555664,10.573525818672405,0,0,0,0,0,0,0.6469458937644958,0.0977022796869278,0.35564422607421875,3.5564422607421875,1.347227156162262,1.347534418106079,0.0052049514,0.00520495,0.010409895,0.0,0.002350018
17,1.7,0.012081235647201538,10.376836346600683,0,0,0,0,0,0,0.6397886276245117,0.06152155622839928,-0.07157266139984131,-0.7157266139984131,1.3477598428726196,1.3480020761489868,0.0056885197,0.0056885197,0.011377031,0.0,0.0023473266
18,1.8,0.004397138953208923,10.178802049692585,0,0,0,0,0,0,0.6286438703536987,-0.026271777227520943,-0.11144757270812988,-1.1144757270812988,1.348052203655243,1.3482128381729126,0.0062097237,0.0062097246,0.01241944,0.0,0.002344517
19,1.9,0.002452865242958069,9.981468492421218,0,0,0,0,0,0,0.6527670621871948,-0.005943150259554386,0.24123191833496094,2.4123191833496094,1.3482005596160889,1.3482784032821655,0.0073839775,0.007383977,0.014767943,0.0,0.0023415803
