time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,12.0111174361331,0,0,0,0,0,0,0.06179002299904823,0.02357800304889679,0.0,0.0,0.6181837519009908,0.6182076930999756,5.084907e-07,5.084907e-07,9.812065e-07,0.0,0.0001251514
1,0.89,0.24590866500511765,10.715778778347406,0,0,0,0,0,0,0.5499751567840576,0.33580249547958374,0.5485226222303476,0.6163175530678063,1.3304005861282349,1.330096960067749,0.0036416375,0.003641636,0.006633531,0.0,3.919142e-05
2,1.77,0.03681255877017975,8.99945808359873,0,0,0,0,0,0,0.6041459441184998,-0.04211972653865814,0.06155771288004788,0.06995194645459987,1.348222057024638,1.34659743309021,0.011906647,0.011906651,0.021781472,0.0,3.817693e-05
3,2.66,0.03601716458797455,7.254932335436338,0,0,0,0,0,0,0.6339336037635803,0.06751105189323425,0.03346928050009052,0.037605933146169127,1.3467827637990315,1.3424663543701172,0.0336315,0.033631492,0.061485514,0.0,3.7078054e-05
4,3.55,0.05356232821941376,5.517029737623032,0,0,0,0,0,0,0.6011942028999329,-0.004131352063268423,-0.03678584366701962,-0.041332408614628786,1.3420813083648682,1.3306931257247925,0.08075887,0.08075886,0.1490832,0.0,3.580139e-05
5,4.44,0.13915450870990753,3.8120357734583354,0,0,0,0,0,0,0.6442907452583313,-0.18976250290870667,0.048423081301571275,0.05440795651861941,1.3335833549499512,1.310870885848999,0.17916447,0.17916453,0.32331434,0.0,2.7765333e-05
6,5.32,0.10155043378472328,2.1087924735811,0,0,1,0,0,0,0.6726111769676208,-0.058923058211803436,0.032182308760556305,0.03657080540972307,1.3331378698349,1.32033371925354,0.24564251,0.24564254,0.40915293,0.0,3.5549896e-05
7,6.21,0.0002599284052848816,0.548926030385483,0,1,0,0,0,0,0.7145481705665588,-0.01645531691610813,0.047120217526896616,0.05294406463696249,1.3141369024912517,1.2752034664154053,0.14413862,0.14413859,0.23357469,0.0,0.03621365
8,7.12,0.006899852305650711,0.8174355116321244,0,1,0,0,0,0,0.7707562446594238,0.14811715483665466,0.06176711438776372,0.06787594987666343,1.3351359764734905,1.350000023841858,0.18386655,0.18386655,0.36727685,0.0,0.012351368
9,8.02,0.09513375163078308,0.9925354284301371,0,1,0,0,0,0,0.7947410941123962,0.21355530619621277,0.026649832725524902,0.029610925250583224,1.3438814878463745,1.3316444158554077,0.10237325,0.10237325,0.2047465,0.0,0.0054694745
