time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,13.288822526158775,0,0,0,0,0,0,0.03648677095770836,-0.0003318111994303763,0.0,0.0,0.29327724874019623,0.2934178113937378,3.1469875e-11,3.1469875e-11,6.293975e-11,0.0,0.003531991
1,0.1,1.003197394311428e-05,13.237777395186415,0,0,0,0,0,0,0.04955136775970459,2.1497304260265082e-05,0.1306459680199623,1.306459680199623,0.6474566757678986,0.6477659344673157,1.3944117e-07,1.3944117e-07,2.7888234e-07,0.0,0.003530825
2,0.2,1.3070442946627736e-05,13.149487074710237,0,0,0,0,0,0,0.14050795137882233,0.00015605105727445334,0.9095658361911774,9.095658361911774,0.8829265534877777,0.8833470344543457,6.7438905e-06,6.7438905e-06,1.348778e-05,0.0,0.0035289996
3,0.3,1.808168599382043e-05,13.032270116002575,0,0,0,0,0,0,0.24057452380657196,0.0002625025808811188,1.0006657242774963,10.006657242774963,1.039473056793213,1.0399656295776367,5.1173956e-05,5.1173956e-05,0.000102347905,0.0,0.003526744
4,0.4,2.14035389944911e-05,12.892474305857105,0,0,0,0,0,0,0.34180670976638794,0.00034423251054249704,1.0123218595981598,10.123218595981598,1.1435441970825195,1.1440799236297607,0.00018318719,0.00018318719,0.00036637433,0.0,0.0035242178
5,0.5,2.3829139536246657e-05,12.734321716620709,0,0,0,0,0,0,0.44339296221733093,0.00039092241786420345,1.01586252450943,10.1586252450943,1.2127201557159424,1.2132744789123535,0.00045243648,0.00045243662,0.00090487296,0.0,0.0035215393
6,0.6,2.559702261351049e-05,12.560621307259924,0,0,0,0,0,0,0.5451009273529053,0.00035215815296396613,1.0170796513557434,10.170796513557434,1.25868558883667,1.2592358589172363,0.00090876175,0.00090876175,0.0018175232,0.0,0.0035188054
7,0.7,2.4771434254944324e-05,12.373226523480227,0,0,0,0,0,0,0.647123396396637,0.0003354425716679543,1.020224690437317,10.202246904373169,1.289205551147461,1.2897284030914307,0.0016118513,0.0016118506,0.003223701,0.0,0.0035161045
8,0.8,0.0022220309474505484,12.18025747781162,0,0,0,0,0,0,0.6544461250305176,0.027064718306064606,0.07322728633880615,0.7322728633880615,1.3094663619995117,1.3099526166915894,0.0019690506,0.0019690504,0.0039381,0.0,0.0035135048
9,0.9,0.001080401474609971,11.978978964402451,0,0,0,0,0,0,0.7187749147415161,-0.007177217863500118,0.6432878971099854,6.4328789710998535,1.3228831887245178,1.3233134746551514,0.0027944157,0.0027944157,0.0055888295,0.0,0.0035110503
