time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,2.322126340920948,0,0,1,0,0,0,0.0367753766477108,-0.00032374399597756565,0.0,0.0,0.0,0.0,0.0004571971,0.0004571971,0.0009143942,0.0,0.0001410094
1,0.1,7.83745781518519e-06,2.2958017776237485,0,0,1,0,0,0,0.036986976861953735,-0.00032299256417900324,0.002116002142429352,0.021160021424293518,0.4510345458984375,0.4510345458984375,0.030483628,0.030483628,0.060967255,0.0,0.00014131104
2,0.2,2.1429150365293026e-06,2.2341984628715146,0,0,1,0,0,0,0.049473006278276443,0.0002378345961915329,0.12486029416322708,1.2486029416322708,0.744088888168335,0.744088888168335,0.08690662,0.08690662,0.17381324,0.0,0.00014290451
3,0.3,1.2323347618803382e-05,2.1573186879576225,0,0,1,0,0,0,0.1404360681772232,4.542371243587695e-05,0.9096306189894676,9.096306189894676,0.9328199028968811,0.9328199028968811,0.1189292,0.1189292,0.2378584,0.0,0.00014754458
4,0.4,1.686185714788735e-05,2.075575351849666,0,0,1,0,0,0,0.2405463010072708,-0.00010386360372649506,1.001102328300476,10.01102328300476,1.0548840761184692,1.0548840761184692,0.13550518,0.13550518,0.27101037,0.0,0.00015794819
5,0.5,2.087844768539071e-05,1.9942212752081052,0,0,1,0,0,0,0.3418501913547516,-0.00027565061463974416,1.0130389034748077,10.130389034748077,1.1344172954559326,1.1344172954559326,0.13973211,0.13973208,0.2794642,0.0,0.00017771458
6,0.6,0.0001423877547495067,1.9164966594878585,0,0,1,0,0,0,0.436749666929245,-0.03628762438893318,0.9489947557449341,9.48994755744934,1.1871088743209839,1.1871088743209839,0.13718997,0.13718994,0.2743799,0.0,0.00021337977
7,0.7,0.03197873165481724,1.8402411832884007,0,0,1,0,0,0,0.4719233810901642,-0.5156770348548889,0.3517371416091919,3.517371416091919,1.2210419178009033,1.2210419178009033,0.14717731,0.14717725,0.29435456,0.0,0.0002748272
8,0.8,0.05126871168613434,1.7685553461162424,0,0,1,0,0,0,0.5674884915351868,-0.5331321358680725,0.9556511044502258,9.556511044502258,1.2439634799957275,1.2439634799957275,0.13095954,0.13095945,0.261919,0.0,0.00036768182
9,0.9,0.06621851772069931,1.7025609507178348,0,0,1,0,0,0,0.6049610376358032,-0.7056220173835754,0.37472546100616455,3.7472546100616455,1.2604185342788696,1.2604185342788696,0.13081504,0.130815,0.26163006,0.0,0.0004982422
10,1.0,0.030854135751724243,1.6371170509002826,0,0,1,0,0,0,0.6336255669593811,-0.144564688205719,0.2866452932357788,2.866452932357788,1.2703657150268555,1.2703657150268555,0.13190497,0.13190491,0.2638099,0.0,0.0006825339
11,1.1,0.0024176836013793945,1.5739376938526903,0,0,1,0,0,0,0.6175661683082581,0.06415750086307526,-0.16059398651123047,-1.6059398651123047,1.2765685319900513,1.2765685319900513,0.1491713,0.14917126,0.29834256,0.0,0.00092623977
12,1.2,0.00658164918422699,1.5089027182788701,0,0,1,0,0,0,0.6514549255371094,0.06527900695800781,0.3388875722885132,3.388875722885132,1.2783756256103516,1.2783756256103516,0.14765556,0.14765555,0.2953111,0.0,0.0012699513
13,1.3,0.006542369723320007,1.4537319030387423,0,0,1,0,0,0,0.7532063126564026,0.065471351146698,1.0175138711929321,10.175138711929321,1.2823246717453003,1.2823246717453003,0.121400796,0.1214007,0.24280149,0.0,0.001674552
14,1.4,0.006545469164848328,1.4082566523631885,0,0,1,0,0,0,0.8550153970718384,0.0655379369854927,1.018090844154358,10.180908441543579,1.288009524345398,1.288009524345398,0.095894605,0.09589462,0.19178922,0.0,0.0021013224
15,1.5,0.015841007232666016,1.370909388687923,0,0,1,0,0,0,0.9209944009780884,0.34176909923553467,0.6597900390625,6.597900390625,1.2942042350769043,1.2942042350769043,0.08231152,0.082311474,0.16462299,0.0,0.0025395714
16,1.6,0.04199671000242233,1.3361342293200553,0,0,1,0,0,0,0.9058928489685059,0.409613698720932,-0.1510155200958252,-1.510155200958252,1.2985426187515259,1.2985426187515259,0.09496246,0.09496246,0.18992493,0.0,0.0029892465
17,1.7,0.0354943722486496,1.297129789320476,0,0,1,0,0,0,0.9099326133728027,0.15080247819423676,0.04039764404296875,0.4039764404296875,1.2986422777175903,1.2986422777175903,0.10112882,0.10112881,0.20225763,0.0,0.00361534
18,1.8,0.001423276960849762,1.2620722831343483,0,0,1,0,0,0,0.9508737921714783,-0.2536146938800812,0.40941178798675537,4.094117879867554,1.2992708683013916,1.2992708683013916,0.091442436,0.091442436,0.18288487,0.0,0.00431269
19,1.9,0.017996549606323242,1.2304546613353586,0,0,1,0,0,0,0.9634095430374146,0.163106769323349,0.1253575086593628,1.253575086593628,1.300045371055603,1.300045371055603,0.09072316,0.09072313,0.18144628,0.0,0.005072767
20,2.0,0.020404547452926636,1.1987518000380641,0,1,0,0,0,0,0.9560418128967285,0.15298070013523102,-0.07367730140686035,-0.7367730140686035,1.2993382215499878,1.2993382215499878,0.099004604,0.099004604,0.19800921,0.0,0.00592033
