time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,13.296275647517044,0,0,0,0,0,0,0.036397241055965424,-0.00033888022881001234,0.0,0.0,0.15560653805732727,0.15572713315486908,1.5272562e-13,1.5272562e-13,3.0545125e-13,0.0,0.0024680933
1,0.1,7.718044798821211e-06,13.257342721984639,0,0,0,0,0,0,0.036171961575746536,-0.0003442578308749944,-0.0022527948021888733,-0.022527948021888733,0.5559286773204803,0.5563715100288391,1.8058705e-08,1.8058705e-08,3.611741e-08,0.0,0.00246874
2,0.2,4.5470078475773335e-06,13.181620122045297,0,0,0,0,0,0,0.10799983143806458,-0.0003882553137373179,0.7182786986231804,7.182786986231804,0.8220759034156799,0.8227466940879822,2.7099572e-06,2.7099572e-06,5.419914e-06,0.0,0.002410167
3,0.3,1.604112912900746e-05,13.074500555935346,0,0,0,0,0,0,0.2070941925048828,-0.000553032208699733,0.9909436106681824,9.909436106681824,0.9990185797214508,0.9997791051864624,3.0232379e-05,3.0232368e-05,6.0464743e-05,0.0,0.002374009
4,0.4,2.0838488126173615e-05,12.943163147178112,0,0,0,0,0,0,0.30825456976890564,-0.0007904326776042581,1.0116037726402283,10.116037726402283,1.116652011871338,1.117448091506958,0.00012866026,0.00012866026,0.0002573205,0.0,0.0023723491
5,0.5,2.4329056032001972e-05,12.792379275185953,0,0,0,0,0,0,0.40998414158821106,-0.0010474646696820855,1.0172957181930542,10.172957181930542,1.1948485970497131,1.1956608295440674,0.00034795588,0.00034795588,0.0006959117,0.0,0.0023705638
6,0.6,2.731315908022225e-05,12.625322415619252,0,0,0,0,0,0,0.5120326280593872,-0.0014069098979234695,1.0204848647117615,10.204848647117615,1.2468165755271912,1.2476260662078857,0.0007369844,0.0007369847,0.0014739688,0.0,0.0023687198
7,0.7,2.9620161512866616e-05,12.444098070383633,0,0,0,0,0,0,0.6064593195915222,-0.0013367033097893,0.9442669153213501,9.442669153213501,1.281334400177002,1.2821213006973267,0.0013148049,0.0013148047,0.0026296088,0.0,0.0023668753
8,0.8,2.482350100763142e-05,12.250056799156916,0,0,0,0,0,0,0.6811487674713135,5.658578083966859e-05,0.7468944787979126,7.468944787979126,1.3042333126068115,1.3049747943878174,0.0020226908,0.0020226908,0.0040453803,0.0,0.0023650867
9,0.9,0.0010752286470960826,12.04433369714748,0,0,0,0,0,0,0.7780023217201233,-0.04360145702958107,0.9685355424880981,9.685355424880981,1.3193880319595337,1.3200587034225464,0.0031569242,0.0031569256,0.0063138474,0.0,0.0023634145
10,1.0,0.014799811062403023,11.829420954260486,0,0,0,0,0,0,0.8628997206687927,-0.15210022032260895,0.8489739894866943,8.489739894866943,1.329380750656128,1.3299574851989746,0.004536278,0.004536275,0.009072548,0.0,0.0023619193
11,1.1,0.023300671949982643,11.605056086005877,0,0,0,0,0,0,0.937179684638977,-0.3927062451839447,0.7427996397018433,7.427996397018433,1.3359116911888123,1.336364507675171,0.0061192294,0.0061192294,0.012238444,0.0,0.002360674
12,1.2,0.053379595279693604,11.375649495433677,0,0,0,0,0,0,0.9700673222541809,-0.5868464708328247,0.3288763761520386,3.2887637615203857,1.340164840221405,1.3404887914657593,0.007077492,0.007077502,0.014154954,0.0,0.0023597418
13,1.3,0.055178336799144745,11.15096036142308,0,0,0,0,0,0,0.8935018181800842,-0.32306328415870667,-0.7656550407409668,-7.656550407409668,1.3430099487304688,1.3432575464248657,0.0062767453,0.0062767453,0.012553435,0.0,0.0023590522
14,1.4,0.02260303497314453,10.932084008657293,0,0,0,0,0,0,0.8282092213630676,-0.17166592180728912,-0.652925968170166,-6.52925968170166,1.344928503036499,1.3451383113861084,0.005939315,0.005939317,0.011878571,0.0,0.0023584894
15,1.5,0.0014620572328567505,10.719617989974626,0,0,0,0,0,0,0.7737619876861572,0.21431921422481537,-0.544472336769104,-5.44472336769104,1.3462212085723877,1.3464120626449585,0.0058985488,0.0058985488,0.011797037,0.0,0.0023579884
16,1.6,0.03643539547920227,10.511798418717776,0,0,0,0,0,0,0.7226710915565491,0.5674076676368713,-0.5109089612960815,-5.109089612960815,1.3470711708068848,1.3472400903701782,0.0061319075,0.006131916,0.012263774,0.0,0.0023575276
17,1.7,0.06282870471477509,10.306320161434039,0,0,0,0,0,0,0.7443795800209045,0.6419217586517334,0.2170848846435547,2.170848846435547,1.3475960493087769,1.3477228879928589,0.0076425453,0.007642554,0.015285055,0.0,0.0023571218
18,1.8,0.06402688380330801,10.0928739290379,0,0,0,0,0,0,0.8464140295982361,0.6401411294937134,1.0203444957733154,10.203444957733154,1.3477603793144226,1.347753882408142,0.011307187,0.011307177,0.02261432,0.0,0.0023569015
19,1.9,0.05545639339834452,9.870564802319704,0,0,0,0,0,0,0.9043303728103638,0.3497333228588104,0.5791634321212769,5.7916343212127686,1.3476179838180542,1.3473825454711914,0.014750159,0.014750162,0.029500298,0.0,0.002357111
20,2.0,0.014606647193431854,9.64404470925036,0,0,0,0,0,0,0.9335243105888367,-0.11782652884721756,0.291939377784729,2.91939377784729,1.347309172153473,1.3468025922775269,0.017657416,0.017657412,0.03531481,0.0,0.0023579146
21,2.1,0.040064120665192604,9.415197828096586,0,0,0,0,0,0,0.9729065895080566,-0.575604259967804,0.3938227891921997,3.938227891921997,1.346914291381836,1.3461250066757202,0.021069907,0.021069907,0.04213974,0.0,0.0023593698
22,2.2,0.06619545258581638,9.183041903568348,0,0,0,0,0,0,0.9859422445297241,-0.5897046327590942,0.1303565502166748,1.303565502166748,1.3464316129684448,1.3453463315963745,0.02300209,0.023002096,0.046003915,0.0,0.0023615141
