time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,13.29889118773291,0,0,0,0,0,0,0.037943415343761444,-0.00031252563348971307,0.0,0.0,0.05400004796683788,0.054035745561122894,5.513664e-16,5.513664e-16,1.1027327e-15,0.0,0.0024173735
1,0.1,8.61816806718707e-06,13.262333930993103,0,0,0,0,0,0,0.10793577879667282,0.00023865302500780672,0.6999236345291138,6.999236345291138,0.4883773624897003,0.48875758051872253,3.2608188e-08,3.2608188e-08,6.5216376e-08,0.0,0.0024568574
2,0.2,1.570946187712252e-05,13.180838329553078,0,0,0,0,0,0,0.20694886147975922,0.00031507117091678083,0.990130826830864,9.90130826830864,0.7771655321121216,0.7778038382530212,4.675148e-06,4.675148e-06,9.350295e-06,0.0,0.0024207456
3,0.3,1.9459374016150832e-05,13.066119358586198,0,0,0,0,0,0,0.30797308683395386,0.00030620041070505977,1.0102422535419464,10.102422535419464,0.9691600203514099,0.9699100852012634,4.9128506e-05,4.9128506e-05,9.8257005e-05,0.0,0.0023743198
4,0.4,2.250290708616376e-05,12.925970599738319,0,0,0,0,0,0,0.4094928801059723,0.0002459624083712697,1.0151979327201843,10.151979327201843,1.0967979431152344,1.097584843635559,0.00019914612,0.00019914612,0.0003982922,0.0,0.002372697
5,0.5,2.4926033802330494e-05,12.76557088684491,0,0,0,0,0,0,0.5112224817276001,0.00013647657760884613,1.017296016216278,10.17296016216278,1.1816401481628418,1.1824404001235962,0.00051779137,0.00051779137,0.0010355825,0.0,0.0023709424
6,0.6,2.6903318939730525e-05,12.588357350640267,0,0,0,0,0,0,0.6130995154380798,-9.144173964159563e-05,1.0187703371047974,10.187703371047974,1.2380168437957764,1.2388067245483398,0.0010619505,0.0010619505,0.0021239007,0.0,0.0023691333
7,0.7,0.00046951757394708693,12.396732064931598,0,0,0,0,0,0,0.7025112509727478,0.07673380523920059,0.8941173553466797,8.941173553466797,1.2754523754119873,1.2762072086334229,0.0018174187,0.0018174187,0.0036348365,0.0,0.0023673405
8,0.8,0.025956939614843577,12.195753541589854,0,0,0,0,0,0,0.7580031156539917,0.3971133530139923,0.554918646812439,5.54918646812439,1.3002923130989075,1.3009947538375854,0.0026176176,0.0026176176,0.0052352343,0.0,0.0023656269
9,0.9,0.04443526640534401,11.988377262110589,0,0,0,0,0,0,0.774439811706543,0.4173702001571655,0.1643669605255127,1.643669605255127,1.316751480102539,1.317386507987976,0.0032428799,0.0032428799,0.0064857593,0.0,0.0023640348
10,1.0,0.02955073118209839,11.778387941866754,0,0,0,0,0,0,0.7750134468078613,0.31965765357017517,0.005736351013183594,0.05736351013183594,1.3276528716087341,1.3282220363616943,0.0037493322,0.0037493322,0.007498664,0.0,0.0023625656
11,1.1,0.03942123055458069,11.568440780062094,0,0,0,0,0,0,0.7539910674095154,0.3835127055644989,-0.21022379398345947,-2.1022379398345947,1.334852397441864,1.3353440761566162,0.004008938,0.004008938,0.008017875,0.0,0.0023608753
12,1.2,0.04689508676528931,11.360220000463178,0,0,0,0,0,0,0.7099621295928955,0.4488281309604645,-0.44028937816619873,-4.402893781661987,1.3396182656288147,1.3400444984436035,0.0039563337,0.0039563337,0.007912665,0.0,0.0023587875
13,1.3,0.039953649044036865,11.159617960124937,0,0,0,0,0,0,0.65779048204422,0.27280110120773315,-0.5217164754867554,-5.217164754867554,1.3428152203559875,1.3432121276855469,0.0038008462,0.0038008462,0.0076016886,0.0,0.002356451
14,1.4,0.024664923548698425,10.962476052927821,0,0,0,0,0,0,0.6246296763420105,0.2828861474990845,-0.3316080570220947,-3.3160805702209473,1.3449373245239258,1.3453108072280884,0.0038507741,0.0038507748,0.007701544,0.0,0.0023539797
