time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,13.287383113068651,0,0,0,0,0,0,0.07080421596765518,-0.0017140113050118089,0.0,0.0,0.3530474305152893,0.3531911075115204,3.449006e-10,3.449006e-10,6.898012e-10,0.0,1.1765447
1,0.1,1.5416124369949102e-05,13.226165338030192,0,0,0,0,0,0,0.14054256677627563,-1.0137323442904744e-05,0.6973835080862045,6.973835080862045,0.7641817927360535,0.764434278011322,7.695019e-07,7.695019e-07,1.5390033e-06,0.0,0.99878216
2,0.2,1.8640246707946062e-05,13.12610721384395,0,0,0,0,0,0,0.24059659242630005,0.00011462791007943451,1.0005402565002441,10.005402565002441,1.0114126801490784,1.0117809772491455,1.4972024e-05,1.4972024e-05,2.9944018e-05,0.0,0.78895235
3,0.3,2.191250678151846e-05,12.997145856452827,0,0,0,0,0,0,0.3418218195438385,0.00022233734489418566,1.0122522711753845,10.122522711753845,1.1535394787788391,1.1539716720581055,7.522675e-05,7.522676e-05,0.0001504533,0.0,0.60878396
4,0.4,2.4224398657679558e-05,12.84579692483464,0,0,0,0,0,0,0.443408727645874,0.0003132432757411152,1.0158690810203552,10.158690810203552,1.2337568998336792,1.2342182397842407,0.00022912651,0.00022912663,0.00045825244,0.0,0.47216898
5,0.5,2.5401124730706215e-05,12.67631888188676,0,0,0,0,0,0,0.5451218485832214,0.0002789758436847478,1.0171312093734741,10.171312093734741,1.2793130278587341,1.2797861099243164,0.0005433767,0.0005433767,0.0010867519,0.0,0.37311554
6,0.6,2.5221321266144514e-05,12.491479010947824,0,0,0,0,0,0,0.6471552848815918,0.0004269707133062184,1.0203343629837036,10.203343629837036,1.3057898879051208,1.3062593936920166,0.0011018394,0.0011018389,0.002203676,0.0,0.30179438
7,0.7,0.0035272263339720666,12.293712703846829,0,0,0,0,0,0,0.7207213640213013,0.23613350093364716,0.7356607913970947,7.356607913970947,1.3216471672058105,1.3220949172973633,0.0018285756,0.0018285752,0.0036571482,0.0,0.24990158
8,0.8,0.028581905644387007,12.087296773040068,0,0,0,0,0,0,0.7774636149406433,0.5489705204963684,0.5674225091934204,5.674225091934204,1.3314176201820374,1.3318266868591309,0.0026356243,0.0026356247,0.005271246,0.0,0.21148801
9,0.9,0.04108224809169769,11.877158981585737,0,0,0,0,0,0,0.8017719388008118,0.12111800163984299,0.24308323860168457,2.4308323860168457,1.3375781178474426,1.337942361831665,0.0032716235,0.003271624,0.0065432447,0.0,0.18251704
10,1.0,0.02478022873401642,11.665711549651714,0,0,0,0,0,0,0.7883002758026123,0.13303187489509583,-0.13471662998199463,-1.3471662998199463,1.3415168523788452,1.3418344259262085,0.0036605294,0.0036605287,0.007321056,0.0,0.160279
11,1.1,0.030848927795886993,11.454009622980774,0,0,0,0,0,0,0.76686030626297,0.3650554120540619,-0.21439969539642334,-2.1439969539642334,1.34404456615448,1.3443143367767334,0.003927482,0.0039274828,0.007854963,0.0,0.14293915
12,1.2,0.019364938139915466,11.245375423059217,0,0,0,0,0,0,0.7561548352241516,-0.11253651231527328,-0.1070547103881836,-1.070547103881836,1.3456766605377197,1.345908761024475,0.0043317466,0.004331749,0.008663494,0.0,0.12923278
13,1.3,0.0041408538818359375,11.035058582103076,0,0,0,0,0,0,0.7991642355918884,0.1545717716217041,0.43009400367736816,4.300940036773682,1.3466808199882507,1.3468587398529053,0.0054755253,0.005475525,0.01095105,0.0,0.11826913
14,1.4,0.007828623056411743,10.82264972314794,0,0,0,0,0,0,0.7752891778945923,-0.058738403022289276,-0.23875057697296143,-2.3875057697296143,1.3472582697868347,1.3473641872406006,0.005870207,0.0058702095,0.011740416,0.0,0.10940479
15,1.5,0.005135372281074524,10.61049392060391,0,0,0,0,0,0,0.8034427165985107,0.09091375768184662,0.28153538703918457,2.8153538703918457,1.347564458847046,1.3475912809371948,0.0070971274,0.007097131,0.0141942585,0.0,0.10217245
16,1.6,0.006417408585548401,10.398000322706565,0,0,0,0,0,0,0.7424654960632324,-0.035268381237983704,-0.6097722053527832,-6.097722053527832,1.3476791977882385,1.3476147651672363,0.006972041,0.006972048,0.013944089,0.0,0.096222654
17,1.7,0.022821590304374695,10.189445097878084,0,0,0,0,0,0,0.7597991824150085,-0.4476361572742462,0.17333686351776123,1.7333686351776123,1.347714602947235,1.3475745916366577,0.008309921,0.008309927,0.016619848,0.0,0.09129697
18,1.8,0.008500903844833374,9.980433477529942,0,0,0,0,0,0,0.7655940651893616,-0.0029713003896176815,0.05794882774353027,0.5794882774353027,1.3476332426071167,1.3473906517028809,0.009592649,0.00959265,0.019185299,0.0,0.08719469
19,1.9,0.005007356405258179,9.767130838178131,0,0,0,0,0,0,0.8009413480758667,0.022538086399435997,0.35347282886505127,3.5347282886505127,1.3474184274673462,1.3470240831375122,0.011596227,0.011596227,0.023192454,0.0,0.083755895
20,2.0,0.006626754999160767,9.555206564673057,0,0,0,0,0,0,0.8014894723892212,-0.14998404681682587,0.005481243133544922,0.05481243133544922,1.3471850156784058,1.3466424942016602,0.013102626,0.013102634,0.026205258,0.0,0.08085826
21,2.1,0.013563521206378937,9.342856732832868,0,0,0,0,0,0,0.7869992256164551,-0.009140894748270512,-0.14490246772766113,-1.4490246772766113,1.3468977212905884,1.3461848497390747,0.0144333355,0.014433337,0.028866671,0.0,0.07840645
22,2.2,0.013847142457962036,9.130468285284906,0,0,0,0,0,0,0.7757986187934875,0.1509752720594406,-0.11200606822967529,-1.120060682296753,1.3465648889541626,1.3456597328186035,0.015987122,0.015987124,0.03197424,0.0,0.076323316
23,2.3,0.007825754582881927,8.920213294434701,0,0,0,0,0,0,0.7712216973304749,0.19172759354114532,-0.04576921463012695,-0.45769214630126953,1.3462494611740112,1.3451621532440186,0.017656086,0.01765609,0.035312172,0.0,0.07455063
24,2.4,0.008283846080303192,8.706777585011523,0,0,0,0,0,0,0.8050634860992432,-0.22981055080890656,0.3384178876876831,3.384178876876831,1.3458120822906494,1.3444775342941284,0.020971194,0.020971188,0.041942373,0.0,0.07303567
25,2.5,0.017838694155216217,8.493229028469045,0,0,0,0,0,0,0.7994981408119202,0.01616555079817772,-0.05565345287322998,-0.5565345287322998,1.3453245759010315,1.3437135219573975,0.023588749,0.023588745,0.047177486,0.0,0.07173231
26,2.6,0.016287244856357574,8.28076872959894,0,0,0,0,0,0,0.7644195556640625,0.2945067882537842,-0.35078585147857666,-3.5078585147857666,1.344835638999939,1.3429445028305054,0.02443523,0.024435248,0.048870463,0.0,0.0706069
