scenario_group,experiment,method_label,record_count,person_on_robot_collision
doors_hallway,doors_hallway,mcts,1,0.0
doors_hallway,doors_hallway,nav2,1,0.0
intersection_hallway,intersection_hallway,mcts,1,0.0
intersection_hallway,intersection_hallway,nav2,1,0.0
narrow_hallway,1_ahead_robot,mcts,1,0.0
narrow_hallway,1_ahead_robot,nav2,1,0.0
narrow_hallway,1_behind_robot,mcts,1,0.0
narrow_hallway,1_behind_robot,nav2,1,0.0
narrow_hallway,2_towards_robot,mcts,1,0.0
narrow_hallway,2_towards_robot,nav2,1,0.0
narrower_hallway,narrower_hallway,mcts,1,0.0
narrower_hallway,narrower_hallway,nav2,1,0.0
t_shape_hallway,t_shape_hallway,mcts,1,0.0
t_shape_hallway,t_shape_hallway,nav2,1,0.0
wide_hallway,wide_hallway,mcts,1,0.0
wide_hallway,wide_hallway,nav2,1,0.0
