time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,0.750003058025368,0,1,0,0,0,0,0.036593832075595856,-0.0003242854436393827,0.0,0.0,0.0,0.0,0.04105189,0.04105189,0.08210378,0.0,0.055728655
1,0.1,7.6192372944206e-06,0.7489275644190811,0,1,0,0,0,0,0.03624149039387703,-0.00034184183459728956,-0.003523416817188263,-0.03523416817188263,0.5041268467903137,0.5075604915618896,0.06380668,0.06380668,0.12761337,0.0,0.06366238
2,0.2,2.459273673593998e-07,0.7489358474218666,0,1,0,0,0,0,0.0495486706495285,-0.00029617323889397085,0.13307180255651474,1.3307180255651474,0.8396164774894714,0.8463422656059265,0.033671573,0.033671573,0.06734313,0.0,0.06267874
3,0.3,1.3969663996249437e-05,0.753159437922434,0,1,0,0,0,0,0.14059260487556458,-0.0005604409379884601,0.9104393422603607,9.104393422603607,1.0626959204673767,1.0717532634735107,0.017849617,0.017849617,0.035698898,0.0,0.061610974
4,0.4,1.822496415115893e-05,0.7631041974867963,0,1,0,0,0,0,0.24080756306648254,-0.0008123168954625726,1.0021495819091797,10.021495819091797,1.2112835049629211,1.2227805852890015,0.011793683,0.011793683,0.023585591,0.0,0.060676437
5,0.5,0.0026856628246605396,0.7790895634337058,0,1,0,0,0,0,0.3144056797027588,-0.11188981682062149,0.7359811663627625,7.3598116636276245,1.3104301393032074,1.32470703125,0.008455975,0.008455975,0.016907213,0.0,0.05997195
6,0.6,0.031228096690028906,0.8010246522043216,0,1,0,0,0,0,0.35493865609169006,-0.4356234669685364,0.40532976388931274,4.053297638893127,1.3765984177589417,1.3935645818710327,0.0059514926,0.0059514926,0.011894369,0.0,0.05927232
7,0.7,0.045542892068624496,0.8272297494706331,0,1,0,0,0,0,0.4505302608013153,-0.45769283175468445,0.9559160470962524,9.559160470962524,1.4207364618778229,1.4400182962417603,0.0073105344,0.0073105344,0.014604836,0.0,0.05861951
8,0.8,0.0456027016043663,0.8540339399962205,0,1,0,0,0,0,0.5249244570732117,-0.4562057554721832,0.7439419627189636,7.439419627189636,1.4501924216747284,1.4714356660842896,0.008458075,0.008458056,0.016794145,0.0,0.057855703
9,0.9,0.04560880362987518,0.8792467239130966,0,1,0,0,0,0,0.6267646551132202,-0.4559086263179779,1.0184019804000854,10.184019804000854,1.469842404127121,1.4926784038543701,0.011923222,0.0119231995,0.023647882,0.0,0.056938127
