time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,0.7494457617476045,0,1,0,0,0,0,0.06296243518590927,-0.10026270151138306,0.0,0.0,0.32668790966272354,0.3287103474140167,0.058944695,0.058944695,0.11788939,0.0,0.06394188
1,0.1,0.011113890912383795,0.7478943053927674,0,1,0,0,0,0,0.15806928277015686,-0.11095864325761795,0.9510684758424759,9.510684758424759,0.721591591835022,0.7271958589553833,0.060639236,0.060639236,0.121278465,0.0,0.063049205
2,0.2,0.011113474145531654,0.7478539004992772,0,1,0,0,0,0,0.25849786400794983,-0.11113043129444122,1.0042858123779297,10.042858123779297,0.9844020754098892,0.9932152032852173,0.042493768,0.042493768,0.08498717,0.0,0.061833177
3,0.3,0.011111488565802574,0.7508267633041885,0,1,0,0,0,0,0.35984793305397034,-0.11123765259981155,1.013500690460205,10.13500690460205,1.159337192773819,1.1709643602371216,0.031077571,0.031077571,0.062152803,0.0,0.060612813
4,0.4,0.011109739542007446,0.7572479765237801,0,1,0,0,0,0,0.4615081548690796,-0.11139679700136185,1.0166022181510925,10.166022181510925,1.2759387791156769,1.290404200553894,0.026663361,0.026663361,0.05331908,0.0,0.059491515
5,0.5,0.011108644306659698,0.7666763629728768,0,1,0,0,0,0,0.5633020401000977,-0.11162348836660385,1.0179388523101807,10.179388523101807,1.3538313210010529,1.3713834285736084,0.026514798,0.026514798,0.05301196,0.0,0.058481075
6,0.6,0.010629169642925262,0.7781273832832312,0,1,0,0,0,0,0.6597769856452942,-0.08120888471603394,0.9647494554519653,9.647494554519653,1.4059914350509644,1.4268097877502441,0.028353091,0.028353091,0.056673154,0.0,0.05756654
7,0.7,0.005147844552993774,0.7912945663146724,0,1,0,0,0,0,0.7252582907676697,-0.04900239408016205,0.6548130512237549,6.548130512237549,1.4409535825252533,1.464888334274292,0.028417468,0.028417468,0.056785077,0.0,0.056668214
8,0.8,0.01602637767791748,0.8071779297922423,0,1,0,0,0,0,0.7632911801338196,0.3422435224056244,0.380328893661499,3.8032889366149902,1.4643222391605377,1.4907931089401245,0.026093496,0.026093496,0.052122526,0.0,0.055903547
9,0.9,0.05390258505940437,0.8273566267064809,0,1,0,0,0,0,0.7698566317558289,0.6730428338050842,0.06565451622009277,0.6565451622009277,1.4778325259685516,1.5,0.021475835,0.021475835,0.04287857,0.0,0.05524635
10,1.0,0.0398733913898468,0.8537003441122566,0,1,0,0,0,0,0.7748154997825623,0.3694295883178711,0.049588680267333984,0.49588680267333984,1.485265851020813,1.5,0.017689366,0.017689366,0.035296716,0.0,0.054607127
11,1.1,0.03830094262957573,0.8862072604779769,0,1,0,0,0,0,0.770121693611145,0.38914644718170166,-0.04693806171417236,-0.46938061714172363,1.4901908338069916,1.5,0.014111458,0.014111459,0.028134314,0.0,0.053951725
12,1.2,0.033075347542762756,0.9225771947032217,0,1,0,0,0,0,0.7911840081214905,0.07826539129018784,0.2106231451034546,2.106231451034546,1.493445873260498,1.5,0.011544083,0.011544083,0.022983175,0.0,0.05333396
13,1.3,0.025404714047908783,0.962157082882942,0,1,0,0,0,0,0.7836797833442688,0.11807942390441895,-0.0750422477722168,-0.750422477722168,1.495590329170227,1.5,0.009156967,0.009156972,0.018201645,0.0,0.052674126
14,1.4,0.009793147444725037,1.0046834871934518,0,1,0,0,0,0,0.7929045557975769,0.37776482105255127,0.09224772453308105,0.9224772453308105,1.4969963133335114,1.5,0.0076379096,0.00763791,0.015149143,0.0,0.051979866
15,1.5,0.025430843234062195,1.0509562103672296,0,1,0,0,0,0,0.792486846446991,0.05563844367861748,-0.004177093505859375,-0.04177093505859375,1.4979110360145569,1.5,0.0058729774,0.0058729784,0.011607819,0.0,0.051260505
16,1.6,0.016974717378616333,1.099650620847584,0,1,0,0,0,0,0.7996824979782104,0.17588189244270325,0.07195651531219482,0.7195651531219482,1.4984963536262512,1.5,0.004665508,0.00466551,0.009177883,0.0,0.04952769
17,1.7,0.011727854609489441,1.1503876082802036,0,1,0,0,0,0,0.7933422923088074,-0.11645639687776566,-0.06340205669403076,-0.6340205669403076,1.4988614916801453,1.5,0.0038136977,0.003813699,0.007467501,0.0,0.048777387
18,1.8,0.01826794445514679,1.2033697123054201,0,0,1,0,0,0,0.7495765686035156,-0.09266504645347595,-0.4376572370529175,-4.376572370529175,1.4990798830986023,1.5,0.0036462876,0.0036462897,0.007143912,0.0,0.048006997
19,1.9,0.0008353143930435181,1.258438011255619,0,0,1,0,0,0,0.761335551738739,0.043900638818740845,0.11758983135223389,1.1758983135223389,1.4991993606090546,1.5,0.0031720877,0.0031720884,0.0061828243,0.0,0.039450206
20,2.0,0.006183817982673645,1.3167307246734477,0,0,1,0,0,0,0.6826614737510681,0.13349619507789612,-0.786740779876709,-7.86740779876709,1.4992514848709106,1.5,0.002735388,0.002735388,0.005332318,0.0,0.038837306
21,2.1,0.013310357928276062,1.3767785770141212,0,0,1,0,0,0,0.7739033699035645,0.055188070982694626,0.9124189615249634,9.124189615249634,1.4992546737194061,1.5,0.00249874,0.0024987413,0.004829532,0.0,0.038240276
22,2.2,0.021550536155700684,1.436953555946455,0,0,1,0,0,0,0.7368627786636353,0.20902886986732483,-0.370405912399292,-3.70405912399292,1.4992159605026245,1.4999831914901733,0.0022994955,0.0022994983,0.0044420073,0.0,0.03766164
23,2.3,0.0077582597732543945,1.5025495802326359,0,0,1,0,0,0,0.6637390851974487,0.002288911724463105,-0.7312369346618652,-7.312369346618652,1.499064862728119,1.4995901584625244,0.002086179,0.002086181,0.004032173,0.0,0.037113555
24,2.4,0.00014103949069976807,1.5696730752323367,0,0,1,0,0,0,0.7657337784767151,-0.003575641429051757,1.0199469327926636,10.199469327926636,1.4988015294075012,1.4988263845443726,0.0023737436,0.0023737447,0.004592078,0.0,0.03659667
25,2.5,0.00237862765789032,1.6338552452879278,0,0,1,0,0,0,0.7703307271003723,0.14883477985858917,0.045969486236572266,0.45969486236572266,1.4984621703624725,1.4978574514389038,0.0025311708,0.0025311708,0.0049042925,0.0,0.03610613
26,2.6,0.02853544056415558,1.7001476635128085,0,0,1,0,0,0,0.7378376126289368,0.18697579205036163,-0.32493114471435547,-3.2493114471435547,1.4980911612510681,1.4968003034591675,0.002478358,0.0024783611,0.004804669,0.0,0.035650417
27,2.7,0.015005707740783691,1.7719883067544155,0,0,1,0,0,0,0.6511274576187134,0.14510591328144073,-0.8671015501022339,-8.671015501022339,1.497708261013031,1.495701551437378,0.0022222851,0.0022222851,0.004306283,0.0,0.035229016
28,2.8,0.01549103856086731,1.8480696043752403,0,0,1,0,0,0,0.6771188974380493,0.12755762040615082,0.2599143981933594,2.5991439819335938,1.4973132610321045,1.4945765733718872,0.002467198,0.0024672013,0.004789168,0.0,0.034841906
29,2.9,0.009084373712539673,1.9248301200093287,0,0,1,0,0,0,0.6872999668121338,-0.1606554090976715,0.10181069374084473,1.0181069374084473,1.4968989789485931,1.493431806564331,0.002794874,0.0027948783,0.0054298053,0.0,0.034487702
30,3.0,0.01630893349647522,2.0029815626835763,0,0,1,0,0,0,0.6533836126327515,-0.1622745841741562,-0.33916354179382324,-3.3916354179382324,1.4964708983898163,1.4922717809677124,0.0029220183,0.0029220197,0.0056771296,0.0,0.03416555
31,3.1,0.0036590099334716797,2.0804887673180525,0,0,1,0,0,0,0.6671397686004639,-0.033072639256715775,0.13756155967712402,1.3756155967712402,1.4960223138332367,1.4910911321640015,0.003335848,0.0033358503,0.0064839367,0.0,0.033874948
32,3.2,0.003338724374771118,2.1545506514645374,0,0,1,0,0,0,0.7012838125228882,-0.034219034016132355,0.34144043922424316,3.4144043922424316,1.495543748140335,1.4898834228515625,0.0040005674,0.0040005697,0.007776904,0.0,0.033615056
33,3.3,0.0020014941692352295,2.227135605483712,0,0,1,0,0,0,0.7684829831123352,-0.09806369990110397,0.6719917058944702,6.719917058944702,1.4950425028800964,1.488642692565918,0.0051092934,0.005109305,0.009927109,0.0,0.02870525
34,3.4,0.021385788917541504,2.2997390942160068,0,0,1,0,0,0,0.6983451247215271,-0.30041083693504333,-0.701378583908081,-7.0137858390808105,1.4945226609706879,1.4873628616333008,0.005033685,0.0050336863,0.009783224,0.0,0.02851794
35,3.5,0.03799702227115631,2.372683993259134,0,0,1,0,0,0,0.714123547077179,-0.5350584387779236,0.15778422355651855,1.5778422355651855,1.4939826726913452,1.4860384464263916,0.006086634,0.006086642,0.011820284,0.0,0.028359765
36,3.6,0.05002409219741821,2.4471754242376074,0,0,1,0,0,0,0.6409810185432434,-0.26768630743026733,-0.7314252853393555,-7.314252853393555,1.4934272766113281,1.4846659898757935,0.006027224,0.0060272254,0.011704493,0.0,0.028231394
37,3.7,0.03633350133895874,2.518744208848093,0,0,1,0,0,0,0.7291789054870605,-0.4013407826423645,0.8819788694381714,8.819788694381714,1.4928318560123444,1.4832415580749512,0.008511629,0.008511631,0.01649917,0.0,0.028134573
38,3.8,0.04708642512559891,2.58437169582636,0,0,1,0,0,0,0.7843294143676758,-0.4749218225479126,0.5515050888061523,5.515050888061523,1.4921778440475464,1.4817606210708618,0.011161436,0.0111614475,0.021594742,0.0,0.028071325
39,3.9,0.03941288962960243,2.6453147736970184,0,0,1,0,0,0,0.796439528465271,-0.3138202726840973,0.12110114097595215,1.2110114097595215,1.4914747178554535,1.4802199602127075,0.01310081,0.01310081,0.025316097,0.0,0.028045382
40,4.0,0.03391053341329098,2.7057389103810143,0,0,1,0,0,0,0.776240885257721,-0.3301532566547394,-0.2019864320755005,-2.019864320755005,1.4907627999782562,1.4786217212677002,0.0141539145,0.0141539145,0.027340563,0.0,0.025756858
41,4.1,0.023304691538214684,2.7655232936807463,0,0,1,0,0,0,0.7854214906692505,-0.1808301955461502,0.09180605411529541,0.9180605411529541,1.4900370240211487,1.4769794940948486,0.016186118,0.016186107,0.031247053,0.0,0.025828348
42,4.2,0.017579738050699234,2.8246174105072637,0,0,1,0,0,0,0.7524236440658569,-0.17802953720092773,-0.32997846603393555,-3.2997846603393555,1.4892978370189667,1.475324034690857,0.016834958,0.01683495,0.03252978,0.0,0.025956284
43,4.3,0.011998306959867477,2.8828911660002423,0,0,1,0,0,0,0.7654405236244202,-0.06783241778612137,0.13016879558563232,1.3016879558563232,1.488559365272522,1.4737170934677124,0.019316431,0.019316437,0.037319236,0.0,0.026140738
44,4.4,0.007074981927871704,2.9405512885932152,0,0,1,0,0,0,0.7969405055046082,-0.046770885586738586,0.3149998188018799,3.149998188018799,1.4878497123718262,1.472260594367981,0.022972932,0.022972932,0.044352755,0.0,0.026370939
45,4.5,0.013608023524284363,2.998837736829063,0,0,1,0,0,0,0.750104546546936,-0.025910070165991783,-0.4683595895767212,-4.683595895767212,1.487221598625183,1.4710981845855713,0.023223078,0.023223078,0.0449405,0.0,0.026622968
46,4.6,0.015710413455963135,3.055754974844202,0,0,1,0,0,0,0.775846004486084,-0.21395210921764374,0.2574145793914795,2.574145793914795,1.4866885542869568,1.4703994989395142,0.027215285,0.027215285,0.05420564,0.0,0.022692531
47,4.7,0.013359062373638153,3.1140596307985824,0,0,1,0,0,0,0.7766713500022888,-0.020339081063866615,0.00825345516204834,0.0825345516204834,1.4863883554935455,1.4705106019973755,0.03022245,0.03022245,0.060236726,0.0,0.020554671
48,4.8,0.0013780146837234497,3.1731290387810387,0,0,1,0,0,0,0.7406268119812012,-0.04705139249563217,-0.36044538021087646,-3.6044538021087646,1.4863861799240112,1.4715523719787598,0.03138799,0.03138799,0.06259841,0.0,0.01614097
