time_stamps,time_stamps,cumulative_heading_changes,avg_distance_to_closest_person,intimate_space_intrusions,personal_space_intrusions,social_space_intrusions,robot_on_person_collision,person_on_robot_collision,time_not_moving,avg_robot_linear_speed,avg_robot_angular_speed,avg_acceleration,avg_overacceleration,avg_pedestrian_velocity,avg_closest_pedestrian_velocity,social_force_on_agents,social_force_on_robot,social_work,obstacle_force_on_robot,obstacle_force_on_agents
0,0.0,0.0,12.050675001680782,0,0,0,0,0,0,0.037277884781360626,-0.0003237655619159341,0.0,0.0,0.3761242727438609,0.37613800168037415,2.520167e-09,2.520167e-09,4.961332e-09,0.0,6.866952e-05
1,0.1,7.769151125103235e-06,11.99444732590799,0,0,0,0,0,0,0.039306994527578354,-0.00032335560536012053,0.020291097462177277,0.20291097462177277,0.702535887559255,0.7025638818740845,8.123913e-07,8.123913e-07,1.5636579e-06,0.0,0.00010706712
2,0.2,1.046841498464346e-05,11.909071391217324,0,0,0,0,0,0,0.07679922133684158,0.00014982643187977374,0.3749222680926323,3.749222680926323,0.9195447166760763,0.9195768237113953,1.6655647e-05,1.6655647e-05,3.1393007e-05,0.0,6.149426e-05
3,0.3,0.0027198762400075793,11.79696830682761,0,0,0,0,0,0,0.16000758111476898,-0.14122945070266724,0.832083597779274,8.32083597779274,1.0638171434402466,1.0638427734375,9.708872e-05,9.708872e-05,0.00018005373,0.0,3.991056e-05
4,0.4,0.02137102046981454,11.666108919656457,0,0,0,0,0,0,0.24287867546081543,-0.2227073460817337,0.8287109434604645,8.287109434604645,1.1597284873326619,1.1597418785095215,0.00029116045,0.00029116045,0.00053313957,0.0,3.980977e-05
5,0.5,0.022220587357878685,11.51794134789061,0,0,0,0,0,0,0.3441005349159241,-0.22222253680229187,1.0122185945510864,10.122185945510864,1.223480463027954,1.2234693765640259,0.00068277126,0.00068277126,0.0012348357,0.0,3.970387e-05
6,0.6,0.028042465448379517,11.355889331082333,0,0,0,0,0,0,0.42109647393226624,-0.4416825473308563,0.7699593901634216,7.699593901634216,1.2658449014027913,1.265795350074768,0.0011919122,0.0011919122,0.0021323836,0.0,3.9595092e-05
7,0.7,0.051073960959911346,11.184192660815304,0,0,0,0,0,0,0.5045924186706543,-0.5261552333831787,0.8349594473838806,8.349594473838806,1.293987552324931,1.293890357017517,0.00186527,0.0018652701,0.0032859347,0.0,3.948448e-05
8,0.8,0.05241161584854126,11.001553008019776,0,0,0,0,0,0,0.6063070297241211,-0.5242586731910706,1.017146110534668,10.17146110534668,1.3126646677652996,1.3125110864639282,0.002796407,0.0027964113,0.0048184358,0.0,3.9373535e-05
9,0.9,0.051737770438194275,10.809097163424898,0,0,0,0,0,0,0.697333037853241,-0.4412979781627655,0.9102600812911987,9.102600812911987,1.3250417311986287,1.3248404264450073,0.0037488893,0.00374889,0.0074722096,0.0,3.925398e-05
10,1.0,0.025639161467552185,10.611075094738423,0,0,0,0,0,0,0.7329003214836121,-0.0050466591492295265,0.35567283630371094,3.5567283630371094,1.333239237467448,1.3330122232437134,0.0043973676,0.0043973755,0.008754259,0.0,3.9131195e-05
11,1.1,0.010032504796981812,10.40816527927951,0,0,0,0,0,0,0.8178487420082092,0.12398260831832886,0.8494842052459717,8.494842052459717,1.3386536439259846,1.3384099006652832,0.005891098,0.0058910996,0.011712352,0.0,3.9010898e-05
